"International merchandise trade by commodity, monthly (x 1,000,000) 1 2 3",,,,
Frequency: Monthly,,,,
Table: 12-10-0121-01,,,,
Release date: 2023-10-05,,,,
Geography: Canada,,,,
,,,,
,,,,
,,,,
Geography,Canada,,,
Trade,Import,,Export,
Basis,Customs,,Customs,
Seasonal adjustment,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted
North American Product Classification System (NAPCS) 2,Total of all merchandise,Total of all merchandise,Total of all merchandise,Total of all merchandise
Reference period,,,,
,Dollars,,,
Jan-93,"11,729.10","12,958.30","13,736.50","14,783.90"
Feb-93,"12,802.90","13,366.80","13,799.00","14,610.10"
Mar-93,"15,418.30","13,720.90","16,428.10","15,028.40"
Apr-93,"14,526.90","13,950.00","15,600.10","15,250.40"
May-93,"14,172.00","13,880.30","15,987.90","15,671.40"
Jun-93,"14,971.80","14,003.00","16,952.70","15,757.40"
Jul-93,"12,500.70","14,128.20","13,524.60","15,579.20"
Aug-93,"14,307.60","14,363.20","14,907.40","15,453.80"
Sep-93,"14,800.90","14,324.40","16,459.40","16,126.70"
Oct-93,"15,391.40","14,972.90","17,369.80","16,637.60"
Nov-93,"15,493.50","15,127.60","17,031.00","16,494.30"
Dec-93,"13,836.20","15,155.70","15,719.20","16,122.40"
Jan-94,"13,385.90","14,686.60","14,832.80","15,855.30"
Feb-94,"14,177.40","14,702.20","15,241.10","16,099.50"
Mar-94,"18,147.40","16,062.40","19,112.80","17,586.20"
Apr-94,"16,488.50","16,101.60","18,083.00","17,788.70"
May-94,"17,499.20","16,737.30","18,412.90","17,828.30"
Jun-94,"18,201.60","17,089.00","20,584.80","19,296.20"
Jul-94,"14,157.40","16,502.10","16,859.50","19,587.50"
Aug-94,"18,194.60","17,868.60","19,178.50","19,451.90"
Sep-94,"17,919.30","17,421.50","19,810.20","19,471.40"
Oct-94,"18,424.80","17,934.20","20,970.30","20,152.30"
Nov-94,"18,756.40","18,196.40","21,827.30","20,955.80"
Dec-94,"17,385.80","19,436.30","20,766.10","21,606.10"
Jan-95,"18,574.10","19,791.30","21,387.40","22,474.90"
Feb-95,"18,110.80","18,684.10","20,747.20","21,784.30"
Mar-95,"21,018.60","18,796.70","23,106.40","21,287.60"
Apr-95,"18,505.40","18,495.00","21,497.80","21,616.20"
May-95,"20,834.50","19,572.40","22,508.70","21,551.00"
Jun-95,"20,040.50","19,088.90","23,024.10","22,012.10"
Jul-95,"15,590.00","18,097.50","17,900.20","20,333.70"
Aug-95,"19,207.60","18,776.10","22,018.40","22,087.20"
Sep-95,"18,417.20","18,326.60","22,260.40","22,107.30"
Oct-95,"19,501.80","18,571.90","23,146.60","22,045.00"
Nov-95,"19,225.70","18,594.10","22,932.00","22,228.90"
Dec-95,"16,526.80","18,758.30","21,737.80","22,738.90"
Jan-96,"18,206.80","18,936.80","21,572.40","22,158.70"
Feb-96,"19,528.10","19,433.30","21,885.80","22,290.70"
Mar-96,"19,705.10","18,636.10","23,057.40","22,002.50"
Apr-96,"19,837.90","19,097.10","23,275.50","22,954.40"
May-96,"19,579.00","18,499.80","24,183.80","23,219.00"
Jun-96,"19,172.40","19,145.90","23,635.90","23,338.40"
Jul-96,"17,621.90","19,628.00","20,963.30","23,508.70"
Aug-96,"18,954.50","19,275.60","23,151.90","23,489.20"
Sep-96,"20,137.40","20,003.90","23,911.90","23,837.20"
