"Industrial product price index, by major product group, monthly 1",,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,,,,,,,,,,,
Table: 18-10-0265-01,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2023-11-17,,,,,,,,,,,,,,,,,,,,,,,,
Geography: Canada,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Canada,,,,,,,,,,,,,,,,,,,,,,,
North American Product Classification System (NAPCS),"Total, Industrial product price index (IPPI)","Total Industrial product price index (IPPI), excluding energy and petroleum products","Meat, fish and dairy products  [P11]","Fruit, vegetables, feed and other food products  [P12]",Beverages (except juices)  [P13],Tobacco products  [P14],"Cannabis products (except seeds, plants, plant parts and fresh cannabis)  [P15]",Textile and leather products  [P21],"Clothing, footwear and accessories  [P22]",Chemicals and chemical products  [P31],Plastic and rubber products  [P32],Lumber and other wood products  [P41],Pulp and paper products  [P42],Energy and petroleum products  [P51],Primary ferrous metal products  [P61],Primary non-ferrous metal products  [P62],Fabricated metal products and construction materials  [P63],Motorized and recreational vehicles  [P71],Machinery and equipment  [P72],"Electrical, electronic, audiovisual and telecommunication products  [P73]",Furniture and fixtures  [P74],"Cement, glass, and other non-metallic mineral products  [P81]",Packaging materials and containers  [P91],Miscellaneous products  [P92]
Reference period,,,,,,,,,,,,,,,,,,,,,,,,
,"Index, 202001=100",,,,,,,,,,,,,,,,,,,,,,,
Jan-02,76.2,80.7,72.2,70.8,75.1,31.2,..,86.3,89.5,70.1,74.9,91,84.8,39.2,..,..,65.2,108.6,84.1,96.6,74.2,72.9,..,..
Feb-02,76.6,81,73.2,70.8,75.8,31.2,..,86.5,89.8,69.9,74.5,94.4,83.9,39.9,..,..,65.2,108.7,84,96.6,74.3,72.8,..,..
Mar-02,77.1,81.1,73.4,71.1,76.2,31.2,..,86.4,89.8,69.3,74.1,98.9,82.6,43.1,..,..,65.1,108.4,84.1,96.2,74.2,72.8,..,..
Apr-02,77.3,81.1,72.7,70.9,76.6,32.6,..,87,89.8,70,74.3,97.8,82.3,45.7,..,..,65.3,108.2,84.2,96.4,74.2,73.3,..,..
May-02,76.8,80.6,72,71.1,76.3,32.6,..,86.8,89.8,70.3,75.2,94.9,82.2,45.7,..,..,65.5,106.6,84,95.6,74.2,73.3,..,..
Jun-02,76.6,80.4,71.9,71.3,76.4,32.6,..,86.8,90,70.6,75,90.7,82.4,45.3,..,..,65.6,106.3,84.1,95.5,74.2,73.3,..,..
Jul-02,76.8,80.5,73.1,72.1,76.4,32.7,..,86.9,90.1,71,75.1,90.9,82.8,46.5,..,..,66,105.5,84.1,95,74.4,73.3,..,..
Aug-02,77.4,80.9,72.7,72.4,76.4,32.7,..,87.1,90.1,72.1,75.5,90.4,83.9,48.3,..,..,66.4,106.7,84.3,95.4,74.4,73.5,..,..
Sep-02,78,81.4,71.9,73.2,76.8,33.8,..,87.3,89.9,72.7,75.5,89.2,84.9,49.8,..,..,66.6,108.1,84.4,96,74.4,73.5,..,..
Oct-02,78.2,81.5,72.8,73.2,77.4,34,..,87.3,90,72.1,75.3,89.5,84.9,51.2,..,..,66.6,108.3,84.4,96,74.8,73.4,..,..
Nov-02,77.9,81.4,72.4,73.4,77.6,33.8,..,87.3,90,72.1,75.3,88.6,84.3,49.2,..,..,66.6,108.1,84.4,95.9,75,73.6,..,..
Dec-02,77.7,81.1,73.6,73.6,77.5,34.3,..,87.3,90,71.6,74.9,88.4,83.3,49.1,..,..,66.5,107.1,84.3,95.1,75,73.5,..,..
Jan-03,78.1,81.1,74.2,73.6,77.8,34.3,..,87.2,89.9,73,75.2,88.4,82.6,53.5,..,..,66.5,106,84.3,95.1,75.1,73.6,..,..
Feb-03,78.8,81.2,74.6,73.7,77.6,36.4,..,87.1,90.1,73.7,75.6,89.7,82.5,59.1,..,..,66.7,105.2,84.2,94.9,75.1,74,..,..
Mar-03,78.5,80.8,75.1,73.6,77.8,36.7,..,87,90,75.8,75.9,86.7,82.9,59.9,..,..,66.8,103.6,84.1,94.1,75.1,73.7,..,..
Apr-03,77.1,80.2,74.6,73.5,78.2,37.8,..,86.3,90.1,75.4,76.8,85.5,83.5,51.5,..,..,66.8,102,83.8,93.3,75.2,74,..,..
May-03,75.4,78.9,74.6,73.6,78.4,39.2,..,86.2,90,74.3,76.8,83.2,81.8,46.7,..,..,66.3,98.4,83.5,91.6,75.2,74.1,..,..
Jun-03,74.8,78.1,74.1,73.3,78.4,39.2,..,86.1,90,73.2,76.4,84.8,80.3,46.5,..,..,66.2,96.4,83.1,90.7,75.2,74,..,..
Jul-03,75.7,79,72.4,73.3,78.2,39.3,..,85.9,89.8,73.4,76.2,88.5,80.8,47.7,..,..,66.4,99.4,83.4,91.8,75.8,73.4,..,..
Aug-03,76.1,79,71.4,73,78.6,39.3,..,86.1,89.9,72.7,75.8,90.4,81.3,51.4,..,..,66.4,99.2,83.4,91.1,75.8,73.4,..,..
Sep-03,76.1,79.3,72.2,73.6,79.1,39.3,..,85.9,89.9,73.2,75.7,96.9,80.3,49.8,..,..,66.6,98.2,83.3,90.5,76,73.4,..,..
Oct-03,75.1,78.5,72.2,73.8,79.2,39.3,..,85.1,90.2,72.2,75.6,93.6,79.5,47.8,..,..,66.4,95.8,83.2,89.5,76.2,73.3,..,..
Nov-03,74.8,78.2,72.7,74.2,79.2,39.2,..,85.1,90.2,71.6,75.3,92.3,79.2,46.8,..,..,66.4,94.7,82.8,89,76.2,73.3,..,..
