Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,87.5,..,68.2,105.4,108.5
2005-02-01,92.6,..,71.3,105.9,108.9
2005-03-01,93.9,..,72.7,106.3,109.3
2005-04-01,99.4,..,78.6,107.1,110.2
2005-05-01,99.9,..,76.8,107.2,109.9
2005-06-01,99.8,..,76.8,107.3,110.3
2005-07-01,104,..,76.8,107.6,111.3
2005-08-01,108,..,76.8,107.7,111
2005-09-01,125.2,..,91.7,109.2,112.6
2005-10-01,115,..,89.4,107.8,112.3
2005-11-01,100.7,..,83.1,107.9,111.8
2005-12-01,99.7,..,80.9,107.6,111.7
2006-01-01,103.5,..,80.7,108,111.9
2006-02-01,103.8,..,83.5,108,112.3
2006-03-01,99.5,..,82.5,108.2,112.3
2006-04-01,114.7,..,87.8,109.2,113.3
2006-05-01,118.5,..,91.6,110.1,113.8
2006-06-01,115.4,..,91.6,109.9,114.2
2006-07-01,116.5,..,90.8,110,114.7
2006-08-01,119.8,..,90.8,110.4,115.3
2006-09-01,104.3,..,86.2,109.3,114.7
2006-10-01,98,..,76.4,108.5,113.9
2006-11-01,96.6,..,76,108.7,113.9
2006-12-01,100.5,..,79.8,108.8,114.6
2007-01-01,99.3,..,83.1,109.2,115
2007-02-01,97.5,..,80.6,109.5,114.7
2007-03-01,110.5,..,83.3,110.3,115.1
2007-04-01,114.5,..,89.9,110.6,116
2007-05-01,117.5,..,88.7,110.9,115.9
2007-06-01,118.6,..,88.7,111.3,116.2
2007-07-01,116.5,..,88.7,111.1,115.9
2007-08-01,111.5,..,88.7,110.7,116.3
2007-09-01,109.7,..,84.5,110.7,116.4
2007-10-01,108.8,..,87.9,111,118.1
2007-11-01,111,..,86.6,111.3,118.3
2007-12-01,116,..,100.8,111.5,119.8
2008-01-01,116,..,99.9,111.6,120.8
2008-02-01,115.3,..,98.8,112.1,121.3
2008-03-01,119.8,..,107.4,112.5,122.6
2008-04-01,122.3,..,119,113.2,124.2
2008-05-01,134,..,119.3,114,124.5
2008-06-01,142,..,119.3,114.8,125.4
2008-07-01,146.8,..,119.3,115.8,127.3
2008-08-01,136.5,..,119.3,115.3,128.1
2008-09-01,140.3,..,118.7,115.8,128.5
2008-10-01,125,..,110.8,114.9,128
2008-11-01,98.7,..,96.9,114.2,127.3
2008-12-01,86.8,..,84.5,113.3,127.3
2009-01-01,86,..,77.6,113,127.2
2009-02-01,92.4,..,75.6,113.6,127.6
2009-03-01,93.1,..,67.6,113.7,126.8
2009-04-01,95.4,..,71,114.2,127.2
2009-05-01,101.8,..,68.7,115.3,127
2009-06-01,109,..,68.7,115.8,127
2009-07-01,109.6,..,68.7,115.3,125.5
2009-08-01,108.1,..,68.7,115.1,125.5
2009-09-01,108.9,..,80.5,115.3,126.3
2009-10-01,103.8,..,76.3,114.8,126.1
2009-11-01,110.9,..,85.5,115.6,126.9
2009-12-01,108.9,..,83.1,115.2,126.8
2010-01-01,109.8,..,84.2,116.4,127.9
2010-02-01,108.8,..,84.1,116.3,128.3
2010-03-01,112.9,..,86.7,117.1,128.7
2010-04-01,113,..,89.7,117,129.2
2010-05-01,112,..,89.2,117.3,129.6
2010-06-01,107.3,..,89.2,117.2,129.9
2010-07-01,108.6,..,89.2,117.7,130.3
2010-08-01,108.9,..,89.2,117.9,130.4
2010-09-01,107.1,..,85.2,117.9,130.5
2010-10-01,111.2,..,90,118.1,132.4
2010-11-01,113.4,..,91.1,118.1,132.6
2010-12-01,117.1,..,93,118.1,133.5
2011-01-01,120.4,..,97.5,119.1,134.4
2011-02-01,120.7,..,103.6,119.7,134.9
2011-03-01,127.9,..,111,120.7,135.6
2011-04-01,135.8,..,114.2,121.3,136.8
2011-05-01,137.1,..,112.9,121.5,136.4
2011-06-01,131.1,..,112.9,120.8,136.5
2011-07-01,130.5,..,112.9,121.5,138.4
2011-08-01,131.4,..,112.9,121.9,138.5
2011-09-01,132.2,..,109.6,122.1,138.1
2011-10-01,130.1,..,109.2,122.1,139.3
2011-11-01,128.1,..,113.2,122.7,139.5
2011-12-01,125.6,..,114.7,121.9,139.8
2012-01-01,127.3,..,111.4,122.4,139.8
2012-02-01,133.3,..,114.2,122.9,140
2012-03-01,137.8,..,117.4,123.7,140.5
2012-04-01,142.4,..,118.2,125,141.3
2012-05-01,135,..,114.1,124.4,141.1
2012-06-01,128.8,..,114.1,123.3,141.1
2012-07-01,124.3,..,114.1,123.4,142.5
2012-08-01,131.1,..,114.1,123.8,142.6
2012-09-01,135.7,..,115.9,124.3,142.8
2012-10-01,134.1,..,115,124.6,142.8
2012-11-01,127.9,..,113.6,124.1,143.5
2012-12-01,125.5,..,114,123.4,143.5
2013-01-01,126.8,139.3,113.6,123.4,143.3
2013-02-01,134.5,147.9,117.7,125.5,143.8
2013-03-01,131.7,143.7,106.4,125.6,143.6
2013-04-01,127,134.4,102.4,125.6,143.6
2013-05-01,124.1,129.2,96.1,125.6,143.5
2013-06-01,126.6,130.8,98.8,125.8,143.9
2013-07-01,130.6,135.2,101.7,125.8,143.7
2013-08-01,132.1,135.5,104.2,125.8,144.1
2013-09-01,132.9,139.8,110.4,126.4,144.5
2013-10-01,125,140.4,104.6,126.5,145.8
2013-11-01,126,140.2,105.5,126.8,146.1
2013-12-01,129.6,144.1,109.8,126.4,146.4
2014-01-01,131.5,147,112.2,126.5,146.4
2014-02-01,134.4,152.8,115.7,127.4,146.7
2014-03-01,134.8,153.8,115.9,128.2,146.9
2014-04-01,136.4,141.8,110.8,128.6,146.9
2014-05-01,138.3,139.6,108.2,129,146.7
2014-06-01,138.4,138.9,106.1,128.8,146.5
2014-07-01,135.9,137.3,106.2,128.7,147
2014-08-01,132.5,136.8,107.9,128.9,147
2014-09-01,133.1,135,104.4,128.8,147
2014-10-01,128.7,136.1,104.3,128.8,147.5
2014-11-01,117.8,134.5,98.8,127.6,147.1
2014-12-01,105.5,125,95.9,126.6,147.1
2015-01-01,95.8,116,78.9,126.1,146
2015-02-01,106.8,119.9,79.7,127.2,146.5
2015-03-01,113.3,131.4,87.8,128.7,147.1
2015-04-01,109.1,115.3,78.1,128.1,146.6
2015-05-01,117,118.2,85.2,129.4,147
2015-06-01,123.2,117.6,84.8,129.7,147.1
2015-07-01,121.9,114.9,88.3,129.5,147.8
2015-08-01,113.8,108.8,80.3,129.7,148
2015-09-01,106.9,107.6,80.5,129.2,148.3
2015-10-01,103.2,116.7,82.7,129.3,148.6
2015-11-01,103.1,116.3,81.7,128.9,148.6
2015-12-01,98,109.4,80.4,128.4,148.8
2016-01-01,93,100.9,70.4,128.9,148.2
2016-02-01,89.7,98.4,67.6,129.3,148
2016-03-01,89.3,100.5,66.7,129.9,147.9
2016-04-01,101.5,96.3,67.7,130.6,148.1
2016-05-01,104.3,99.1,76,131.2,148.5
2016-06-01,126.2,109.7,82.6,132.7,149
2016-07-01,121.7,109.8,82.8,133.8,149.8
2016-08-01,122.8,109.6,74.8,133.5,149.2
2016-09-01,127.4,110.7,79.8,134.1,149.7
2016-10-01,130.7,123.1,82.7,134.6,151.6
2016-11-01,127.8,119,84.9,133.8,151.9
2016-12-01,130.1,122.9,83.1,133.7,151.8
2017-01-01,137.5,126.5,91.1,134.9,152
2017-02-01,130.7,125.7,87.3,134.7,151.5
2017-03-01,126.6,122.9,86.8,135.1,151.5
2017-04-01,133.8,120.5,88.9,135.2,151.6
2017-05-01,129.5,112.4,87.3,135.1,151.3
2017-06-01,113.5,113.2,85.3,134.8,151.1
2017-07-01,112.1,110.9,82.5,135.2,152.9
2017-08-01,116.2,115.7,86,135.1,153.1
2017-09-01,125.7,119.5,91.2,136.1,153.4
2017-10-01,120,124.2,92.7,135.7,152.6
2017-11-01,126.8,130.5,94.4,136.2,152.7
2017-12-01,118,133.4,98.6,135.7,153.7
2018-01-01,120.3,136.5,102.5,136.2,154.1
2018-02-01,121.8,134.7,101.4,136.8,154.1
2018-03-01,122.1,134.4,98,137,153.9
2018-04-01,131,133.1,103.6,137.2,154.7
2018-05-01,137.1,139.4,108.6,137.2,155.4
2018-06-01,134.3,139.2,111.8,137.5,155.7
2018-07-01,134.9,139.2,113,138.5,157.6
2018-08-01,132.5,137.6,109.7,138.3,157.6
2018-09-01,131.2,141.5,113.8,137.7,158.1
2018-10-01,131.2,148.1,116.1,138.3,158.4
2018-11-01,118.6,142.7,114.9,137.2,158.5
2018-12-01,109.7,132.7,102,136.4,157.4
2019-01-01,107.3,133.4,94.7,136.4,156.3
2019-02-01,113.1,136.4,101.9,137.5,157.7
2019-03-01,122.8,138.5,105.1,138.4,158.2
2019-04-01,131.6,136.8,105.8,138.9,158.4
2019-05-01,131.1,138.3,109.5,139.3,158.9
2019-06-01,120.2,129.3,101,138.8,158.3
2019-07-01,128.3,130.3,101.9,139.4,158.1
2019-08-01,123.4,128.1,99.9,139.2,157.6
2019-09-01,121.4,130.2,99.3,138.3,157.2
2019-10-01,121.2,135.2,104.5,138.9,159.1
2019-11-01,122,135.1,106,139.2,161
2019-12-01,121.9,137.1,104.6,138.9,161.6
2020-01-01,123.6,136.5,107,139.2,161.2
2020-02-01,120.2,123.9,91.2,139.6,160.5
2020-03-01,101.4,109.6,87.2,138.8,161.1
2020-04-01,81.3,95.6,69.7,137.4,160.3
2020-05-01,91.5,87.9,58.8,137.8,158.6
2020-06-01,102.9,98.5,67.6,138.9,159.4
2020-07-01,107.2,104.5,77.1,139.2,161.4
2020-08-01,106.7,103.7,77,138.7,160.1
2020-09-01,106.6,99.8,75.3,139.2,162.2
2020-10-01,110.3,107.6,70.2,140.4,162.8
2020-11-01,112,114.9,74.7,141,164.4
2020-12-01,117,122.1,84.5,140.1,163.2
2021-01-01,124.8,126.7,89.8,141.6,163.8
2021-02-01,130.8,132.8,88.8,141.2,161.9
2021-03-01,141.6,139.3,98.4,142.2,163.7
2021-04-01,141.2,134.7,100.4,142.8,164.5
2021-05-01,143.5,138.3,104.5,143.6,165.5
2021-06-01,145,141.8,106.7,143.5,165.4
2021-07-01,153.4,148.5,112.2,144.8,166
2021-08-01,151.9,147.3,113.7,144.7,165.6
2021-09-01,153.8,150.3,113.5,144.5,165.4
2021-10-01,160.2,164.4,118.9,145.5,164.9
2021-11-01,159.1,165.6,121.5,145.6,165.4
2021-12-01,151.7,159.1,113.8,145.1,165.9
2022-01-01,159.2,169.6,121,146.5,166.4
2022-02-01,170.9,182.8,134.6,147.9,167.4
2022-03-01,187.8,210.4,164.5,150.2,169.7
2022-04-01,189.9,234.7,202,151.3,171.9
2022-05-01,215.5,255.2,235,153.8,173.6
2022-06-01,219.7,231.2,196.1,154.2,172.5
2022-07-01,200.4,210.2,179.5,154.2,172.2
2022-08-01,184.3,202.6,162.8,153.4,171.6
2022-09-01,166.8,202.4,175.4,152.9,173.1
2022-10-01,180.1,236.4,210,154.8,176.8
2022-11-01,181.2,272.8,201,155.2,177.1
2022-12-01,157.8,237.9,170.3,153.2,176.6
2023-01-01,165.5,214.9,169.6,154.6,178.2
2023-02-01,166.1,208,212,156.1,180.2
2023-03-01,165.1,193.4,156.8,155.6,177.2
2023-04-01,174.3,177.8,152,157.1,179.2
2023-05-01,165.5,159.9,128.9,157.2,178.8
2023-06-01,168.4,160.6,128.9,157.6,179.2
2023-07-01,174.8,174.2,149.8,158.7,182.1
2023-08-01,188,197.1,164.7,159.9,185.6
2023-09-01,190,207,173.9,159.7,187.2
