Date,WTI_MA_Spot_Price_USD,yoy% change,month-month,Gasoline,yoy,
2005-01-01,46.84,,,,,
2005-02-01,48.15,,2.79675491,,,
2005-03-01,54.19,,12.54413292,,,
2005-04-01,52.98,,-2.232884296,,,
2005-05-01,49.83,,-5.945639864,,,
2005-06-01,56.35,,13.08448726,,,
2005-07-01,59,,4.702750665,,,
2005-08-01,64.99,,10.15254237,,,
2005-09-01,65.59,,0.923218957,,,
2005-10-01,62.26,,-5.076993444,,,
2005-11-01,58.32,,-6.328300675,,,
2005-12-01,59.41,,1.868998628,,,
2006-01-01,65.49,39.81639624,10.23396735,95,,
2006-02-01,61.63,27.99584631,-5.894029623,88,,-7.368421053
2006-03-01,62.69,15.68555084,1.719941587,93.3,,6.022727273
2006-04-01,69.44,31.06832767,10.76726751,106.2,,13.82636656
2006-05-01,70.84,42.16335541,2.016129032,104.6,,-1.506591337
2006-06-01,70.95,25.90949423,0.155279503,104.5,,-0.095602294
2006-07-01,74.41,26.11864407,4.876673714,109.7,,4.976076555
2006-08-01,73.04,12.386521,-1.841150383,109.6,,-0.091157703
2006-09-01,63.8,-2.729074554,-12.65060241,89.7,,-18.15693431
2006-10-01,58.89,-5.412785095,-7.695924765,86.5,,-3.567447046
2006-11-01,59.08,1.303155007,0.322635422,86.5,,0
2006-12-01,61.96,4.292206699,4.874746107,90.1,,4.161849711
2007-01-01,54.51,-16.76591846,-12.02388638,87.1,-8.315789474,-3.32963374
2007-02-01,59.28,-3.813078046,8.750687947,91,3.409090909,4.47761194
2007-03-01,60.44,-3.589089169,1.956815115,102.4,9.753483387,12.52747253
2007-04-01,63.98,-7.862903226,5.857048312,105.2,-0.941619586,2.734375
2007-05-01,63.46,-10.41784303,-0.812753986,111.5,6.596558317,5.988593156
2007-06-01,67.49,-4.876673714,6.350456981,106.1,1.531100478,-4.843049327
2007-07-01,74.12,-0.389732563,9.823677582,106.4,-3.008204193,0.282752121
2007-08-01,72.36,-0.930996714,-2.374527793,100.8,-8.02919708,-5.263157895
2007-09-01,79.92,25.26645768,10.44776119,101.9,13.60089186,1.091269841
2007-10-01,85.8,45.69536424,7.357357357,98,13.29479769,-3.827281649
