Date,All industries  [T001] 4,Goods-producing industries  [T002] 4,Service-producing industries  [T003] 4,Business sector industries  [T004],Non-business sector industries  [T007],Industrial production  [T010] 4,Non-durable manufacturing industries  [T011] 4,Durable manufacturing industries  [T012] 4,Information and communication technology sector  [T013] 4,Energy sector  [T016] 4,Industrial production (1950 definition)  [T017] 4,Public Sector  [T018] 4,Content and media sector  [T019] 4,All industries (except cannabis sector)  [T020] 4,Cannabis sector  [T021] 4,All industries (except unlicensed cannabis sector)  [T024] 4,"Agriculture, forestry, fishing and hunting  [11]","Mining, quarrying, and oil and gas extraction  [21]",Utilities  [22],Construction  [23],Manufacturing  [31-33],Wholesale trade  [41],Retail trade  [44-45],Transportation and warehousing  [48-49],Information and cultural industries  [51],Finance and insurance  [52],Real estate and rental and leasing  [53],"Professional, scientific and technical services  [54]",Management of companies and enterprises  [55],"Administrative and support, waste management and remediation services  [56]",Educational services  [61],Health care and social assistance  [62],"Arts, entertainment and recreation  [71]",Accommodation and food services  [72],Other services (except public administration)  [81],Public administration  [91]
2005-01-01,"1,514,960","505,587","1,007,541",..,..,"371,286","97,838","116,223",..,"146,580",..,..,..,"1,511,679","3,224","1,511,680","32,211","118,951","36,003","103,056","214,316","73,613","72,611","64,273","50,086","86,875","167,404","79,148",..,"42,537","79,169","105,162","13,006","32,801","31,501","99,683"
2005-02-01,"1,516,009","501,996","1,012,336",..,..,"367,895","97,970","115,269",..,"144,034",..,..,..,"1,512,741","3,229","1,512,770","31,793","117,434","35,151","103,445","213,436","74,106","73,968","64,478","50,055","87,438","168,156","79,136",..,"42,598","79,243","105,313","12,923","33,547","31,611","99,938"
2005-03-01,"1,510,876","498,704","1,010,618",..,..,"364,323","97,605","114,223",..,"142,224",..,..,..,"1,507,679","3,238","1,507,709","31,998","114,737","35,808","103,793","211,995","73,512","73,301","64,463","50,165","87,240","168,854","79,555",..,"42,760","78,684","105,644","12,722","32,940","31,559","99,771"
2005-04-01,"1,522,079","504,806","1,015,710",..,..,"369,506","97,457","115,746",..,"145,781",..,..,..,"1,518,904","3,258","1,518,933","31,966","118,528","35,637","104,631","213,478","74,737","72,928","64,805","50,326","87,625","169,699","79,880",..,"43,046","79,631","105,942","12,974","32,905","31,858","99,986"
2005-05-01,"1,528,603","508,849","1,018,180",..,..,"372,213","96,990","116,630",..,"148,306",..,..,..,"1,525,445","3,269","1,525,475","32,791","120,502","35,812","105,219","213,989","74,243","73,281","65,363","50,580","88,201","170,267","80,402",..,"43,205","79,667","106,095","12,968","32,731","31,872","99,946"
2005-06-01,"1,533,199","507,122","1,024,604",..,..,"370,670","96,516","116,230",..,"147,338",..,..,..,"1,530,077","3,280","1,530,092","33,081","119,141","36,513","104,826","213,127","75,578","74,309","65,420","50,599","88,945","170,932","80,887",..,"43,421","79,737","106,317","13,414","33,135","32,028","100,347"
2005-07-01,"1,537,159","509,288","1,026,396",..,..,"371,819","96,629","115,947",..,"147,637",..,..,..,"1,534,043","3,294","1,534,058","33,426","120,552","36,395","105,626","212,935","74,074","74,496","66,159","50,876","88,838","171,543","81,623",..,"43,602","79,933","106,607","13,569","33,220","32,040","100,539"
2005-08-01,"1,542,983","510,467","1,031,032",..,..,"373,079","97,143","116,588",..,"148,891",..,..,..,"1,539,871","3,320","1,539,870","33,546","120,625","36,425","105,379","214,101","75,445","74,121","66,484","51,213","89,527","172,174","81,925",..,"43,814","80,278","106,987","13,597","33,231","32,048","100,940"
2005-09-01,"1,544,269","511,423","1,031,342",..,..,"374,251","97,146","115,880",..,"150,627",..,..,..,"1,541,154","3,336","1,541,154","33,567","122,460","36,410","105,059","213,349","76,343","72,703","66,720","51,224","89,519","172,480","82,007",..,"44,149","80,413","107,247","13,384","32,699","32,102","101,475"
2005-10-01,"1,549,474","511,236","1,036,707",..,..,"374,045","97,052","116,061",..,"150,960",..,..,..,"1,546,334","3,353","1,546,302","33,107","122,623","35,923","105,597","213,462","77,824","74,053","67,004","51,359","90,188","172,831","82,348",..,"44,151","79,357","107,619","13,587","32,747","32,186","102,204"
2005-11-01,"1,557,964","514,812","1,041,537",..,..,"377,459","97,027","116,614",..,"153,338",..,..,..,"1,554,791","3,384","1,554,744","32,529","125,095","36,173","106,204","214,023","77,341","74,957","66,941","51,623","91,060","173,334","82,833",..,"44,229","80,795","107,807","13,463","33,085","32,309","102,661"
2005-12-01,"1,566,198","519,393","1,045,090",..,..,"381,300","97,568","117,752",..,"155,265",..,..,..,"1,562,993","3,404","1,562,930","32,517","127,213","36,099","106,900","215,744","77,443","75,952","67,357","51,757","91,812","173,546","83,301",..,"44,188","80,777","107,646","13,488","32,969","32,431","103,214"
2006-01-01,"1,570,036","517,548","1,050,705",..,..,"379,523","98,029","119,682",..,"150,631",..,..,..,"1,566,775","3,425","1,566,682","32,856","124,499","34,742","106,908","218,222","78,228","76,262","67,237","52,361","93,026","174,430","83,960",..,"44,110","80,867","107,756","13,217","33,648","32,473","103,672"
2006-02-01,"1,573,552","517,689","1,054,114",..,..,"378,173","97,100","118,829",..,"151,657",..,..,..,"1,570,253","3,445","1,570,159","33,232","123,893","35,671","108,254","216,451","78,501","77,401","67,257","52,409","93,743","174,654","84,335",..,"44,130","81,003","107,875","13,026","33,337","32,610","104,169"
2006-03-01,"1,577,153","517,732","1,057,676",..,..,"377,963","96,663","118,562",..,"152,211",..,..,..,"1,573,784","3,478","1,573,721","33,032","124,426","35,537","108,720","215,763","79,192","77,801","67,708","52,462","94,155","174,804","84,707",..,"44,117","81,007","107,939","13,393","33,257","32,743","104,476"
2006-04-01,"1,577,442","515,055","1,060,675",..,..,"375,280","96,122","116,516",..,"151,241",..,..,..,"1,574,010","3,495","1,573,978","32,950","124,552","35,308","108,907","213,102","79,360","78,239","67,662","52,569","95,158","174,638","84,789",..,"44,201","81,110","108,037","13,719","33,146","32,871","105,146"
2006-05-01,"1,578,059","514,176","1,062,185",..,..,"374,727","94,665","115,113",..,"153,520",..,..,..,"1,574,579","3,511","1,574,579","32,913","126,024","35,945","108,632","210,260","79,841","78,083","67,432","52,694","95,332","174,607","84,954",..,"44,273","81,253","108,050","13,402","33,362","32,842","106,041"
2006-06-01,"1,575,416","511,083","1,062,668",..,..,"371,935","93,546","115,420",..,"152,048",..,..,..,"1,571,909","3,539","1,571,925","32,978","124,222","35,727","108,357","209,536","78,967","78,449","67,296","52,915","95,561","174,635","85,136",..,"44,408","81,300","108,324","13,424","33,064","32,911","106,090"
2006-07-01,"1,578,273","511,704","1,064,900",..,..,"372,560","94,079","114,962",..,"152,802",..,..,..,"1,574,729","3,553","1,574,760","32,438","123,847","36,673","108,808","209,560","78,760","79,110","67,272","53,123","96,473","175,153","85,326",..,"44,561","81,447","108,570","13,062","32,775","32,941","106,027"
2006-08-01,"1,579,408","510,860","1,066,916",..,..,"371,637","94,526","113,703",..,"152,620",..,..,..,"1,575,846","3,567","1,575,878","31,873","124,530","35,924","109,422","208,662","79,677","78,622","67,114","53,330","96,835","175,759","85,580",..,"44,769","81,558","108,844","13,116","32,566","32,907","105,740"
2006-09-01,"1,577,137","506,571","1,069,001",..,..,"367,003","93,556","111,415",..,"151,436",..,..,..,"1,573,564","3,590","1,573,611","31,934","123,453","35,667","109,929","205,350","78,442","79,030","67,297","53,033","97,747","176,407","85,972",..,"44,953","81,872","109,127","13,118","32,833","32,861","105,619"
2006-10-01,"1,579,661","507,168","1,070,946",..,..,"367,884","92,390","111,179",..,"151,926",..,..,..,"1,576,098","3,602","1,576,145","31,316","125,014","36,204","110,146","204,012","78,166","78,707","66,852","53,091","98,263","176,880","86,383",..,"45,118","82,373","109,574","13,135","33,158","32,871","105,642"
2006-11-01,"1,583,186","506,762","1,074,931",..,..,"366,710","92,165","111,448",..,"149,799",..,..,..,"1,579,615","3,610","1,579,679","31,370","124,919","35,081","110,988","204,094","78,496","78,552","67,423","53,028","98,966","177,291","86,915",..,"45,417","82,840","109,924","13,303","33,203","32,702","105,884"
2006-12-01,"1,593,220","509,807","1,081,953",..,..,"368,857","92,318","114,612",..,"148,767",..,..,..,"1,589,643","3,631","1,589,706","31,391","123,025","35,788","111,882","207,577","81,127","80,123","68,083","52,717","98,363","178,471","86,901",..,"45,516","83,110","110,139","13,326","33,343","32,796","106,125"
2007-01-01,"1,589,916","509,265","1,079,052","1,308,932","278,651","367,910","91,092","113,587","67,779","149,778","363,440","299,793","14,535","1,586,362","3,636","1,586,410","31,238","123,965","36,009","112,626","205,344","79,833","79,442","67,589","52,614","98,516","179,154","87,270","10,378","45,819","83,193","110,302","13,285","33,202","32,764","106,382"
2007-02-01,"1,597,824","513,129","1,083,082","1,316,775","279,123","371,432","91,488","114,255","68,303","152,102","367,184","300,123","14,685","1,594,254","3,642","1,594,350","31,039","125,203","37,168","113,100","206,427","82,935","79,462","67,261","52,566","98,885","179,594","87,081","10,480","45,930","83,491","110,285","13,201","32,907","32,755","106,399"
2007-03-01,"1,601,283","513,656","1,085,992","1,319,705","280,011","371,756","90,139","115,290","67,663","151,863","367,727","300,875","14,674","1,597,720","3,659","1,597,785","30,442","125,673","37,104","113,832","206,309","83,097","79,697","67,700","52,347","98,636","179,780","87,362","10,595","46,220","83,867","110,479","13,265","33,534","32,794","106,553"
2007-04-01,"1,603,425","511,654","1,090,137","1,321,244","280,940","369,831","91,469","114,682","68,148","150,717","365,967","301,943","14,735","1,599,841","3,662","1,599,890","29,844","122,505","37,914","114,376","206,881","83,103","80,904","68,023","52,499","98,899","180,384","87,870","10,603","46,487","84,231","110,806","13,180","33,076","32,860","106,911"
2007-05-01,"1,610,464","513,323","1,095,507","1,327,568","281,865","370,452","90,942","113,511","67,702","151,420","366,727","302,952","14,674","1,606,865","3,664","1,606,897","29,647","124,544","38,048","115,667","205,141","83,654","81,407","68,470","52,475","99,601","181,061","88,660","10,609","46,694","84,717","111,097","13,148","33,341","32,908","107,122"
2007-06-01,"1,615,014","514,379","1,099,010","1,331,815","282,370","371,348","92,445","112,690","68,453","152,057","367,739","303,463","14,778","1,611,405","3,679","1,611,405","29,477","124,995","37,944","115,995","205,646","83,805","81,166","68,259","52,717","100,193","181,843","89,331","10,664","46,941","85,017","111,143","13,497","33,544","32,930","107,265"
