Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,80.7,..,70.8,103.9,102.3
2005-02-01,88.4,..,75.5,104.4,102.3
2005-03-01,90.9,..,76.2,105.1,102.5
2005-04-01,92.7,..,76.9,105.2,102.7
2005-05-01,90.1,..,76.9,105.2,102.6
2005-06-01,91.5,..,76.9,105.3,102.6
2005-07-01,94.6,..,76.9,105.3,102.7
2005-08-01,102.4,..,76.9,105.9,102.7
2005-09-01,115.6,..,89.4,106.6,102.9
2005-10-01,106.5,..,96.9,106.2,104.1
2005-11-01,89.1,..,93.3,105.9,103.9
2005-12-01,86,..,90.1,106,104
2006-01-01,91.6,..,89.1,106.6,105.7
2006-02-01,85.9,..,89.1,106.2,105.4
2006-03-01,95.1,..,88.7,107.1,105.6
2006-04-01,100.5,..,88.3,107.4,104.8
2006-05-01,101.1,..,87.5,107.8,106.1
2006-06-01,105.5,..,87.5,107.6,106
2006-07-01,113.8,..,86.7,107.2,105.2
2006-08-01,115.4,..,86.7,107.2,105.1
2006-09-01,98.8,..,91.1,106.6,104.9
2006-10-01,91.9,..,76.3,106.4,104.9
2006-11-01,91.8,..,78.6,106.6,104
2006-12-01,90.8,..,76.6,106.6,104.3
2007-01-01,95.5,..,90.8,106.2,103.4
2007-02-01,92.8,..,86.2,107.3,103.1
2007-03-01,103.1,..,91.4,108.3,103.3
2007-04-01,108,..,91.4,108.4,103.5
2007-05-01,111.8,..,88.5,108.8,103.6
2007-06-01,113.6,..,88.5,108.3,103.6
2007-07-01,114.2,..,88.5,108.6,104.3
2007-08-01,109.8,..,88.5,108.3,104.3
2007-09-01,111.9,..,90.5,108.3,104.5
2007-10-01,102.2,..,91.4,107.9,104.4
2007-11-01,104.6,..,93.2,108.2,104
2007-12-01,107.3,..,103.5,108.1,104.2
2008-01-01,105.4,..,103.7,107.9,104
2008-02-01,106.8,..,103.5,108.4,104.1
2008-03-01,113.1,..,113.4,108.7,104.4
2008-04-01,119.4,..,122,109.7,106.2
2008-05-01,130.6,..,125.8,110.7,106.3
2008-06-01,137.5,..,125.8,111.2,106.4
2008-07-01,140.3,..,125.8,112.1,108.8
2008-08-01,131.8,..,125.8,111.9,108.7
2008-09-01,136.1,..,125.9,112.2,108.6
2008-10-01,118.8,..,127.7,110.9,109.1
2008-11-01,96.1,..,116.8,110.8,109.5
2008-12-01,86.8,..,99.8,110.1,109.4
2009-01-01,84.2,..,88.5,109.5,108.3
2009-02-01,89.2,..,84.3,110.3,108.2
2009-03-01,87.1,..,80.4,110.8,108.1
2009-04-01,88.2,..,81.5,110.4,106
2009-05-01,98.2,..,80.1,111,106.1
2009-06-01,107.4,..,80.1,111.2,106.2
2009-07-01,106.8,..,80,110.3,103.7
2009-08-01,106.2,..,80,110.2,103.6
2009-09-01,104.7,..,84.9,110.4,103.5
2009-10-01,98.9,..,86.2,110.2,103
2009-11-01,101,..,93.7,110.9,103
2009-12-01,96.7,..,93.7,110.4,103.1
2010-01-01,102.7,..,94,110.9,103.7
2010-02-01,102.7,..,93.7,111.5,103.7
2010-03-01,100.3,..,93.3,111.7,103.8
2010-04-01,106.1,..,93.9,112.2,105.4
2010-05-01,109.2,..,93.7,112.5,106.3
2010-06-01,105.7,..,93.7,112.3,106.3
2010-07-01,108.7,..,100.8,113.4,108
2010-08-01,108.1,..,100.8,113.3,107.4
2010-09-01,105.9,..,95.6,113.4,107.3
2010-10-01,107.6,..,97.9,114,108
2010-11-01,110.8,..,100.4,114.2,107.5
2010-12-01,120.1,..,105.7,114.1,107.5
