Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,78,79.9,68.1,105,107.2
2005-02-01,79,81.2,72,105.6,107.7
2005-03-01,83.8,82.4,75,106.4,108
2005-04-01,87.6,85.9,78.8,106.3,107.9
2005-05-01,84.2,85.2,75.9,106.5,108.3
2005-06-01,88.1,86.5,75.9,106.5,108.5
2005-07-01,90.1,91.7,75.9,106.6,108.9
2005-08-01,97.9,93.1,75.9,107.2,108.9
2005-09-01,107.2,97.4,86.7,107.7,109.1
2005-10-01,97.2,103.7,89.6,107.4,109.6
2005-11-01,86.7,95.9,83.8,107.2,109.7
2005-12-01,88.5,90.5,78.3,107.4,109.8
2006-01-01,95.8,93.5,83.4,107.9,111
2006-02-01,85.5,89.5,82.4,107.6,111.4
2006-03-01,91.1,91,81.8,108.5,111.6
2006-04-01,103,96.5,85.7,108.7,111
2006-05-01,97.9,99.5,84.4,109,111.9
2006-06-01,101.6,99.8,84.4,108.9,111.8
2006-07-01,105.7,98.8,83.7,108.5,111.4
2006-08-01,103.3,101.3,83.7,108.5,111.6
2006-09-01,83.3,93.8,82.9,108.1,111.6
2006-10-01,83.4,86.8,77.5,108,111.6
2006-11-01,82.8,86.5,75.8,108.3,111.2
2006-12-01,87.5,89.8,81.1,108.5,111.7
2007-01-01,80.1,89.8,80.7,108.2,111.7
2007-02-01,89.3,90.1,83.1,109.3,111.8
2007-03-01,101.1,98.3,88.1,110.3,112.1
2007-04-01,101.1,96.7,87.8,110.8,113.2
2007-05-01,105.5,94,86.1,111.2,113.2
2007-06-01,102.3,92,86.1,110.7,113.4
2007-07-01,101,94.3,86.1,110.7,113.3
2007-08-01,95.8,94.7,86.1,110.6,113.5
2007-09-01,97.2,96.3,87.3,110.8,113.9
2007-10-01,94.4,96.3,88.8,110.7,115.1
2007-11-01,99.9,100,90.9,111,114.6
2007-12-01,100.6,107.3,100.1,111.1,115
2008-01-01,102.5,110.7,102,110.7,114.8
2008-02-01,102.8,108.3,101.4,111.3,115.2
2008-03-01,106.1,120.1,108.3,111.5,115.5
2008-04-01,114,124.5,115.9,112.2,116.1
2008-05-01,124.6,131,125.7,113.3,116.2
2008-06-01,130.6,141.5,125.7,113.8,116.3
2008-07-01,132,143.5,125.7,114.9,118.9
2008-08-01,123.9,130,125.7,114.7,119
2008-09-01,123.7,125,121.9,114.9,118.8
2008-10-01,105.9,117.7,113.7,113.7,119
2008-11-01,82.7,104.7,99,113.5,119.6
2008-12-01,74.2,91.9,87.7,113,119.8
2009-01-01,78.9,88.5,85.2,112.5,119.5
2009-02-01,81.6,86.9,80.2,113.2,119.5
2009-03-01,84.7,81.4,75.4,113.8,119.4
2009-04-01,85.2,83.9,80.5,113.1,116.8
2009-05-01,94.4,79.9,80.3,113.9,117
2009-06-01,98.8,85.4,80.3,114,116.9
2009-07-01,93.9,87.4,80.3,113.6,116.4
2009-08-01,98.3,91,80.3,113.6,116.3
2009-09-01,95.3,89.4,82.9,113.7,116.3
2009-10-01,95.6,89.2,80.4,114,117.2
2009-11-01,98.1,96.4,90,114.4,117.1
2009-12-01,94.4,94.7,88.4,113.9,117.2
2010-01-01,98.9,96.2,92.4,114.5,117.7
2010-02-01,97.7,95.4,90.1,115.1,117.8
2010-03-01,100.6,94.9,89.9,115.3,117.8
2010-04-01,100.7,98.4,92.4,115.8,119.2
2010-05-01,98.2,98.9,91.6,116.3,120.4
2010-06-01,95.5,91.9,91.6,116.1,120.5
2010-07-01,103.3,98.2,98.6,117.1,121.7
2010-08-01,102,99.4,98.6,117.1,121.5
2010-09-01,101,99.8,97.6,117.3,121.5
2010-10-01,106.2,103.9,100.1,117.7,121.9
2010-11-01,108.5,106.7,102.6,117.8,121.6
2010-12-01,110.1,110.9,108.1,117.6,121.8
2011-01-01,113.6,115.9,113,117.5,121
2011-02-01,114.8,121.2,115.6,117.9,120.7
2011-03-01,121,126.7,125.3,119.4,121.1
2011-04-01,131,130,128.1,119.8,121.2
2011-05-01,133.5,128.2,123.1,120.8,121.9
2011-06-01,129.5,124.9,123.1,120.2,122.2
2011-07-01,129.6,122.4,123.1,120.4,122.7
2011-08-01,127.4,124.7,123.1,120.5,122.8
2011-09-01,125.3,125.2,120.3,121.2,122.8
2011-10-01,124.2,123.4,119.1,121.1,123.1
2011-11-01,121,128.4,124.9,120.9,123.1
2011-12-01,118.1,129.9,122.8,120.2,123.4
2012-01-01,122.1,129.4,124.9,120.7,123.7
2012-02-01,126.3,129.7,126.9,121.5,123.8
2012-03-01,131.1,130.2,129.9,122,123.9
2012-04-01,135.6,129.9,130.1,122.4,124
2012-05-01,128.9,126.8,125.8,122.4,124.7
2012-06-01,123.1,118.1,125.8,121.7,124.9
2012-07-01,125.6,117.6,125.8,121.6,125
2012-08-01,128.6,119,125.8,121.8,124.9
2012-09-01,130.5,123.2,123.6,122.1,124.9
2012-10-01,126.3,122.2,121.3,122.3,125.2
2012-11-01,122.2,118.1,121.8,122,125.1
2012-12-01,120.5,120.4,122.5,121.4,125
2013-01-01,122.5,126.7,127.1,121.5,125.6
2013-02-01,130.8,131.9,133.5,122.9,125.9
2013-03-01,130,131.2,134,123.3,125.9
2013-04-01,126.1,126,132.5,123.1,126
2013-05-01,125.4,118.4,121.6,123.2,126.2
2013-06-01,128.1,118.3,119.7,123.4,126.5
2013-07-01,131.7,119,120.5,123.6,127
2013-08-01,131.2,124.3,121.6,123.7,127.2
2013-09-01,130.7,127.3,128.4,123.8,127.3
2013-10-01,124.8,125.2,124.2,123.7,127.2
2013-11-01,124.6,124.8,127,123.6,127.8
2013-12-01,127.3,132.7,132.8,123.4,128
2014-01-01,126.6,135.9,137.5,123.7,128.6
2014-02-01,130.6,142.6,143.6,125,128.8
2014-03-01,131.5,142,143.1,125.5,128.9
2014-04-01,135,136.8,138.1,126.4,132.4
2014-05-01,135.8,134.8,136.3,127,133
2014-06-01,140.5,131.1,134.9,127.4,132.9
2014-07-01,136.7,129.3,133.1,126.9,132.4
2014-08-01,132,127.7,130.9,126.9,132.3
2014-09-01,130.1,126.2,130.3,127.2,132.4
2014-10-01,123.8,121.9,124.8,127.4,132.8
2014-11-01,114.8,122.2,123.3,126.9,133
2014-12-01,103.8,119.2,121,126.2,133.4
2015-01-01,91,108.7,115.1,126.3,134
2015-02-01,101.4,109.9,112.8,127.2,134.1
2015-03-01,105.5,120.2,121.8,127.9,134.4
2015-04-01,105.2,112.9,117.4,127.7,134.4
2015-05-01,112.6,112.4,114.9,128.5,134.9
2015-06-01,118.1,113.8,113.8,128.8,135
2015-07-01,121,110.7,111.2,129.2,135.9
2015-08-01,113,103.9,106.7,128.7,136
2015-09-01,105.2,100.6,106.2,129,136.3
2015-10-01,100.8,99.6,103.2,129,135.9
2015-11-01,103,102,109.7,129.1,136.1
2015-12-01,100.4,101.1,108.4,128.7,136.3
2016-01-01,95.7,95.3,99.8,129,136.9
