Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,83.2,86.9,69.7,105.3,107.8
2005-02-01,85.9,89.7,73.5,105.6,107.9
2005-03-01,92.7,93.4,76.6,106.4,108.2
2005-04-01,94.1,93.3,75.4,106.3,108.4
2005-05-01,93.3,93,75,106.5,108.7
2005-06-01,95.2,96.9,75,106.9,108.9
2005-07-01,101.4,99.7,75,107,108.9
2005-08-01,105.8,102,75,107.4,109
2005-09-01,119,107.5,85.8,108.5,109.5
2005-10-01,107.7,110.7,86.9,107.7,110
2005-11-01,94.6,105.2,82.3,107.5,110
2005-12-01,96.9,99.6,76.2,107.4,110
2006-01-01,102.7,104,80.4,108.2,110.3
2006-02-01,96.4,97.8,78.5,108,110.4
2006-03-01,99.3,99.5,77.3,108.4,110.6
2006-04-01,113.5,106.5,81.9,109.1,111.3
2006-05-01,110.9,109.3,85,109.3,111.3
2006-06-01,108.8,107.8,85,109.1,111.6
2006-07-01,115.1,106.8,84.2,109.2,111.4
2006-08-01,114.9,111.8,84.2,109.2,111.9
2006-09-01,93.4,103.3,76.7,108.4,111.9
2006-10-01,87.7,95,69.4,108.2,111.4
2006-11-01,88.8,95,69.4,108.4,111.5
2006-12-01,96.9,98,76.6,108.4,111.8
2007-01-01,93.4,98,79.7,108.5,112
2007-02-01,94.3,99,79.7,109.2,112.1
2007-03-01,107.3,102.8,81.6,110.1,112.6
2007-04-01,108.4,104.8,83.1,110.3,113
2007-05-01,115.2,101.3,81.2,110.7,113.1
2007-06-01,110.8,100.8,81.2,110.4,113.1
2007-07-01,113.3,103,81.2,110.4,113.3
2007-08-01,106.8,104,81.2,109.8,113.8
2007-09-01,103.4,104,80.8,110.2,114
2007-10-01,103,105.5,83.9,110.2,115.4
2007-11-01,107.5,111,88.5,110.5,115.6
2007-12-01,113.9,118.5,98,110.8,116.1
2008-01-01,115.3,121.3,103.1,110.6,116.1
2008-02-01,115.2,117.3,103.1,111.1,116.3
2008-03-01,117,130.5,111,111.3,116.5
2008-04-01,119.8,138.5,123.3,112,117.2
2008-05-01,135.4,148,126.4,113.2,117.5
2008-06-01,144.4,155,126.4,113.7,117.7
2008-07-01,142.5,157.5,126.4,113.7,117.9
2008-08-01,129.6,140.8,126.4,113.1,118.3
2008-09-01,134.1,135.2,118.5,113.6,118.6
2008-10-01,117.2,127.5,107.4,112.7,118.9
2008-11-01,91,112.2,93.5,112.1,118.8
2008-12-01,79.7,101.9,85.2,111.3,118.9
2009-01-01,83.3,98.3,83.1,111.2,119.1
2009-02-01,90.2,96.2,79.3,112,119.2
2009-03-01,90,91.2,73.3,112.4,119.3
2009-04-01,90.2,94.9,77.8,112.5,119.6
2009-05-01,98.8,89.2,73.5,113.6,119.7
2009-06-01,106.5,96.3,73.5,114.2,119.7
2009-07-01,102.3,96.9,73.5,113.7,119.7
2009-08-01,105.5,100.2,73.5,113.8,120
2009-09-01,102.8,97.2,77.5,113.6,120.3
2009-10-01,99.7,95.8,78.6,113.5,120.5
2009-11-01,101.9,101.8,88.4,114.3,120.5
2009-12-01,100.8,100.9,87.6,114,120.9
2010-01-01,106.3,106.9,92.5,114,120.9
2010-02-01,102.4,103.9,90.1,114.2,121
2010-03-01,108.4,104.4,91,114.5,121
2010-04-01,105.7,105.8,92.9,114.7,121
2010-05-01,107,106.4,90.7,114.8,121
2010-06-01,102,102.9,90.7,114.8,121.2
2010-07-01,104,103.2,90.7,114.5,121.2
2010-08-01,105.6,104.9,90.7,114.6,121.5
2010-09-01,101.7,104.7,86.2,114.8,121.4
