Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,72,74.5,..,105.3,107.5
2005-02-01,76.4,79.9,..,105.5,107.2
2005-03-01,81.7,81.7,..,106,107.4
2005-04-01,86.4,81.4,..,106.9,109.4
2005-05-01,83.1,79.2,..,106.8,108.7
2005-06-01,84,80.7,..,107.3,109.7
2005-07-01,90.2,83.8,..,108,111.9
2005-08-01,93.4,84,..,108,110.7
2005-09-01,102.7,93.1,..,109.1,113.1
2005-10-01,95.9,103.2,..,108.9,113.8
2005-11-01,82.7,102.4,..,108.8,114.7
2005-12-01,81.7,91.4,..,108.5,113.3
2006-01-01,85.9,88.3,..,109.9,118.4
2006-02-01,83.1,83.3,..,108.9,114.3
2006-03-01,87.6,84.3,..,109.5,114.9
2006-04-01,100.4,88.5,..,110.9,118.8
2006-05-01,102.7,91.5,..,112,120.9
2006-06-01,100.4,95,..,111.7,119.6
2006-07-01,106,97,..,113.6,126.4
2006-08-01,110.1,101.5,..,114.4,127.7
2006-09-01,86.9,90.7,..,114.7,132.4
2006-10-01,82.8,85,..,113.5,130.5
2006-11-01,80.8,82.3,..,114.2,132.4
2006-12-01,80.4,83.3,..,114.7,134.1
2007-01-01,82.4,96,..,115,134.2
2007-02-01,84.8,90.5,..,115.6,134.5
2007-03-01,95.6,93.3,..,116.7,135.8
2007-04-01,99.3,96.5,..,117.6,137.2
2007-05-01,110,92.5,..,117.6,134.8
2007-06-01,105,91,..,118.6,138.2
2007-07-01,109,92.3,..,119.1,139.1
2007-08-01,101.7,91.5,..,119.3,141.7
2007-09-01,103.2,94,..,119.3,141.1
2007-10-01,94.4,96.5,..,118.7,142.8
2007-11-01,98.1,103.8,..,119.1,143.6
2007-12-01,98.3,110.5,..,119,143.9
2008-01-01,101.8,108.3,..,118.9,144.5
2008-02-01,102.1,102.8,..,119.1,145.1
2008-03-01,106.8,119,..,120,146.6
2008-04-01,115.8,123.3,..,121.2,148.5
2008-05-01,123.9,131.3,..,122.3,150.2
2008-06-01,129.6,137.8,..,123.9,153.8
2008-07-01,132.2,141.3,..,123,149.6
2008-08-01,124,129,..,124.4,155.5
2008-09-01,127.3,124.5,..,123.1,149.5
2008-10-01,110.3,126.5,..,121.8,148.6
2008-11-01,86,111.2,..,122,150.6
2008-12-01,73,91.9,..,121.8,152.1
2009-01-01,76.7,87.4,..,120.7,149
2009-02-01,83.2,81.3,..,121.9,150.2
2009-03-01,83.6,72.2,..,121.3,147.5
2009-04-01,84.7,79.3,..,120.8,145.2
2009-05-01,89.8,73.9,..,121.5,144
2009-06-01,98.3,81.9,..,122.1,144.5
2009-07-01,92.5,82.4,..,121.6,144.3
2009-08-01,94.8,82.9,..,122.1,145.7
2009-09-01,93.3,84.2,..,121.6,143.6
2009-10-01,89.9,86.9,..,121.9,144.1
2009-11-01,91.8,90.2,..,122.7,146.2
2009-12-01,87,87.7,..,122.1,146
2010-01-01,92.3,91.7,..,122.4,146.9
2010-02-01,88.5,84.9,..,122.8,146.4
2010-03-01,92.2,89.4,..,122.3,145.3
2010-04-01,93.3,90.2,..,122.4,143.7
2010-05-01,94.9,89.7,..,122.8,144.5
2010-06-01,89.2,85.9,..,122.9,146.4
2010-07-01,92.3,84.2,..,123.3,147.6
2010-08-01,94.4,87.9,..,122.7,145.9
2010-09-01,93.4,91.9,..,122.6,145.9
2010-10-01,94.7,97.4,..,122.9,145.4
2010-11-01,92.3,102.2,..,122.7,145.1
2010-12-01,97.2,105.4,..,122.8,146.9
2011-01-01,104.5,106.7,..,123.3,146.5
2011-02-01,103.4,106.7,..,124.2,148.9
2011-03-01,112,113.7,..,124.3,146
2011-04-01,117.2,115.8,..,125.6,150.2
2011-05-01,123.2,114.2,..,125.8,146.6
2011-06-01,114.9,111.4,..,124.9,147.4
2011-07-01,113.7,110.7,..,125.5,150.1
2011-08-01,112.7,109.7,..,125.9,151.3
2011-09-01,112.4,111.4,..,125.7,147.4
2011-10-01,111.9,116.4,..,126.9,152.4
2011-11-01,106.6,123.9,..,126.3,150.2
2011-12-01,104,123.9,..,126.2,153.3
2012-01-01,105.5,117.2,..,126.7,153.8
2012-02-01,107.3,115.9,..,126.3,151.7
2012-03-01,113.7,117.7,..,126.3,147.9
2012-04-01,119.2,116.9,..,126.7,147.3
2012-05-01,114.5,112.9,..,126.2,145.2
2012-06-01,115,105.4,..,126.5,148
2012-07-01,113.2,104.9,..,126.4,148.4
2012-08-01,115.6,109.4,..,127.2,150.2
2012-09-01,119.3,115.7,..,127.5,149.7
2012-10-01,117.7,114.4,..,127.5,150.1
2012-11-01,106.7,111.7,..,126.9,149.9
2012-12-01,102.2,114.9,..,126,149.6
2013-01-01,95.9,114.4,..,126.3,151.3
2013-02-01,110.9,119.2,..,127.5,151.2
2013-03-01,113.6,121.7,..,127.9,151.1
2013-04-01,111.3,118.2,..,128.5,153.4
2013-05-01,118.9,116.9,..,129.3,153.7
2013-06-01,127.3,116.2,..,129.7,154.8
2013-07-01,118.9,114.7,..,129.6,155.2
2013-08-01,115.3,115.4,..,129.3,154.5
2013-09-01,114,118.4,..,129.5,155.4
2013-10-01,111.7,119.9,..,129.4,155.6
2013-11-01,108.4,124.7,..,129.6,157.3
2013-12-01,108.2,127.9,..,129.3,157
2014-01-01,107.2,131.7,..,130.2,159.6
2014-02-01,112,137.4,..,131.2,160.6
2014-03-01,119.8,135.7,..,133.8,167.1
2014-04-01,123.4,133.9,..,132.6,161.2
