Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,..,..,..,105.3,107.5
2005-02-01,..,..,..,105.7,107.7
2005-03-01,..,..,..,106.3,108.1
2005-04-01,..,..,..,106.6,108.4
2005-05-01,..,..,..,106.7,108.6
2005-06-01,..,..,..,106.9,108.8
2005-07-01,..,..,..,107.1,109.4
2005-08-01,..,..,..,107.5,109.3
2005-09-01,..,..,..,108.4,110
2005-10-01,..,..,..,107.9,110.7
2005-11-01,..,..,..,107.7,110.8
2005-12-01,..,..,..,107.6,110.5
2006-01-01,95,..,..,108.2,111.8
2006-02-01,88,..,..,108,111.7
2006-03-01,93.3,..,..,108.6,111.9
2006-04-01,106.2,..,..,109.2,112.2
2006-05-01,104.6,..,..,109.7,113
2006-06-01,104.5,..,..,109.5,112.8
2006-07-01,109.7,..,..,109.6,113.2
2006-08-01,109.6,..,..,109.8,113.5
2006-09-01,89.7,..,..,109.2,114
2006-10-01,86.5,..,..,109,114.1
2006-11-01,86.5,..,..,109.2,114.1
2006-12-01,90.1,..,..,109.4,114.6
2007-01-01,87.1,..,..,109.4,114.8
2007-02-01,91,..,..,110.2,114.9
2007-03-01,102.4,..,..,111.1,115.4
2007-04-01,105.2,..,..,111.6,116.2
2007-05-01,111.5,..,..,112.1,116
2007-06-01,106.1,..,..,111.9,116.8
2007-07-01,106.4,..,..,112,117
2007-08-01,100.8,..,..,111.7,117.6
2007-09-01,101.9,..,..,111.9,117.8
2007-10-01,98,..,..,111.6,118.7
2007-11-01,102.4,..,..,111.9,118.8
2007-12-01,104,..,..,112,119.2
2008-01-01,106,..,..,111.8,119.2
2008-02-01,106.6,..,..,112.2,119.6
2008-03-01,110.3,..,..,112.6,120.1
2008-04-01,117.5,..,..,113.5,121.2
2008-05-01,128,..,..,114.6,121.6
2008-06-01,135.1,..,..,115.4,122.3
2008-07-01,136.6,..,..,115.8,123.3
2008-08-01,127.3,..,..,115.6,123.8
2008-09-01,128.6,..,..,115.7,123.1
2008-10-01,110.9,..,..,114.5,123.2
2008-11-01,86.8,..,..,114.1,123.4
2008-12-01,76.5,..,..,113.3,123.4
2009-01-01,81,..,..,113,123.1
2009-02-01,85.1,..,..,113.8,123.2
2009-03-01,87.1,..,..,114,122.6
2009-04-01,87.8,..,..,113.9,121.4
2009-05-01,95.6,..,..,114.7,121.4
2009-06-01,101.6,..,..,115.1,121.3
2009-07-01,97.4,..,..,114.7,120.8
2009-08-01,100.5,..,..,114.7,121.1
2009-09-01,98.8,..,..,114.7,120.9
2009-10-01,96.5,..,..,114.6,121.2
2009-11-01,99.6,..,..,115.2,121.3
2009-12-01,96.1,..,..,114.8,121.3
2010-01-01,100.4,..,..,115.1,121.8
2010-02-01,98.8,..,..,115.6,121.8
2010-03-01,102.4,..,..,115.6,121.7
2010-04-01,102.7,..,..,116,122.4
2010-05-01,101.8,..,..,116.3,123
