Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,80.4,83.4,63.9,106.1,108.6
2005-02-01,83,82.3,63.9,106.3,108.7
2005-03-01,86.4,87,67.6,107.1,109.7
2005-04-01,92.9,94,73.8,108,111.1
2005-05-01,97.2,96.3,73.8,108.4,111.2
2005-06-01,94.3,94.5,73.8,108.3,111.4
2005-07-01,97.7,98.8,73.8,108.4,111.7
2005-08-01,100,97.5,73.8,108.7,111.6
2005-09-01,121.5,103.7,82.9,110.9,113.5
2005-10-01,112.3,107.7,85,110.7,114.5
2005-11-01,96,103.1,79.7,110,113.4
2005-12-01,94.7,97.8,73.8,109.3,112.2
2006-01-01,99.7,96.8,73.8,109.7,112.3
2006-02-01,99.4,97.8,77,110.2,113.1
2006-03-01,93.6,97.8,73.4,109.9,112.4
2006-04-01,111.3,104.3,79.5,111.4,114
2006-05-01,115.8,109.8,84.5,112,115
2006-06-01,110.3,108,84.5,111.7,115.3
2006-07-01,115.5,107,83.7,111.8,115.1
2006-08-01,116.6,109.8,83.7,112.1,115.5
2006-09-01,98,99.2,78.9,111.1,114.5
2006-10-01,89.9,92,68.7,110.4,113.4
2006-11-01,89.9,92,68.7,110.7,113.3
2006-12-01,96.6,97.4,74.5,111.1,114.7
2007-01-01,94.7,95.2,74.5,111,115.2
2007-02-01,92.5,94.4,74,111.5,115
2007-03-01,107.5,102.6,77.1,112.8,115.8
2007-04-01,111.3,103.8,77.1,113.1,116.2
2007-05-01,113.5,103.2,78.2,113.6,116.5
2007-06-01,110.5,99.8,78.2,113.5,116.8
2007-07-01,107.5,103,78.2,113.4,116.9
2007-08-01,101.8,103.4,78.2,113.3,117
2007-09-01,102,103.8,77,113.7,117.2
2007-10-01,99.5,104.8,81.8,113.8,118.8
2007-11-01,102.8,109,84.5,114,119.5
2007-12-01,107,114.2,93.2,114.3,121.6
2008-01-01,107.9,114.9,93.1,113.8,121.6
2008-02-01,107,114,92.1,114.2,121.8
2008-03-01,111.1,127.5,98.4,115.3,123.2
2008-04-01,114,134.8,108.7,116.2,125.8
2008-05-01,127.1,143,112.4,118.3,127.5
2008-06-01,136.2,152.2,112.4,118.8,128
2008-07-01,138,153.8,112.4,119.2,128.3
2008-08-01,129.1,144.2,112.4,118.6,128.6
2008-09-01,130.2,132.8,114.2,119.6,129.3
2008-10-01,112,120.8,103.2,118.2,127.5
2008-11-01,87.6,107.5,91.3,116.6,125.5
2008-12-01,73.7,96.9,76.8,114.5,122.9
2009-01-01,74.7,95.7,73.7,114,122.1
2009-02-01,84.4,92.2,71.5,115.6,122
2009-03-01,83.3,87.3,65.5,115.5,120.6
2009-04-01,86.3,90.7,68.6,116.3,121.1
2009-05-01,91.8,86.6,66.5,117.4,120.8
2009-06-01,103,92.2,66.5,118.2,120.8
2009-07-01,99,92.8,66.5,118.2,120.5
2009-08-01,101.4,96.4,66.5,118,120.3
2009-09-01,99.8,95.9,78.1,118.3,122.3
2009-10-01,95.9,95.3,72.7,117.4,121.3
2009-11-01,102.5,100,83.8,118.8,123.4
2009-12-01,97.9,98.9,81.9,117.8,122.8
2010-01-01,101.6,104.4,82.7,118.3,123
2010-02-01,99.9,99.6,78.9,118.4,122
2010-03-01,103.8,101.9,82.2,119,122.3
2010-04-01,103.8,101.4,82.2,118.8,122.4
2010-05-01,102.2,100.5,83.3,118.9,122.4
2010-06-01,98.1,97.6,83.3,118.9,122.4
2010-07-01,99.2,97.8,83.3,119.3,122.4
2010-08-01,98.5,98.9,83.3,119.4,124.8
2010-09-01,97.5,100.2,79.1,119.4,123.8
2010-10-01,100.9,104.5,85.4,120.1,124.9
2010-11-01,102.6,106.9,85.9,120.2,124.7
2010-12-01,106.2,108.9,89,119.5,124.9
2011-01-01,108.9,113.7,91.7,119.7,124.7
2011-02-01,110.8,119.2,97,120.6,125.5
2011-03-01,118.8,126.8,102.8,121.7,125
2011-04-01,123.9,128.2,108,122.7,126
2011-05-01,126.4,122.8,108.3,123.3,126.2
2011-06-01,123.2,121.3,108.3,122.7,126.3
2011-07-01,121,122.7,108.3,122.7,126.3
2011-08-01,121.2,120.7,108.3,123.2,126.6
2011-09-01,122.4,124,104.6,123.1,125.7
2011-10-01,120,125,104.6,123.3,125.8
2011-11-01,118.2,130.7,107.5,123.4,126.5
2011-12-01,116.2,130,110,122.7,127
2012-01-01,118.3,128.6,104.3,122.9,125.8
2012-02-01,122.8,130,111.6,124.1,127.2
2012-03-01,127.9,131.7,114.1,124.8,127.7
2012-04-01,134.1,130.5,113.1,125.5,127.9
2012-05-01,125.8,125.7,108.9,125.1,126.6
2012-06-01,120.3,118,108.9,124.5,126.5
2012-07-01,116.5,119,108.9,124.5,126.5
2012-08-01,122.5,123.3,108.9,124.9,126.4
2012-09-01,131.3,128.7,110.6,125.5,126.7
2012-10-01,131.1,132.2,110.6,125.7,127
2012-11-01,120.7,131.1,112.7,125.2,127.5
2012-12-01,119.9,128.9,110.6,124.2,126.9
2013-01-01,120.1,130.8,111.6,124.4,126.9
2013-02-01,128,137.6,115.8,125.9,127.9
2013-03-01,128,136.1,118.5,126.3,128.7
2013-04-01,130,136.3,111.6,127.8,130.6
