Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,73.6,74.2,..,106.7,113.1
2005-02-01,77.4,79.3,..,106.7,111.9
2005-03-01,80.8,81.2,..,107.5,113
2005-04-01,86.6,81.9,..,108,113.8
2005-05-01,80.8,76.4,..,107.9,113.2
2005-06-01,83.5,78.3,..,108.1,113
2005-07-01,88.6,82.8,..,109.2,116.8
2005-08-01,94.4,85.2,..,109.1,114.9
2005-09-01,102.2,89.5,..,110.6,119.1
2005-10-01,91.7,103.6,..,110.2,119.1
2005-11-01,83,100.4,..,110.1,119.9
2005-12-01,78.9,89.2,..,109.4,117
2006-01-01,84.8,87.5,..,110.6,121.4
2006-02-01,81.5,83.5,..,110.1,119.3
2006-03-01,88.8,85.8,..,110.6,119.3
2006-04-01,99.7,88.5,..,111.4,120.6
2006-05-01,100.2,90,..,112.1,121.1
2006-06-01,97.2,95,..,111.6,119.3
2006-07-01,105.8,95,..,112.8,123.4
2006-08-01,109.4,101.3,..,113,122.4
2006-09-01,86,88.3,..,113.2,127.2
2006-10-01,78.2,81,..,112.2,126.2
2006-11-01,79.3,80.8,..,113,128.5
2006-12-01,81.6,81.3,..,113.5,130.4
2007-01-01,82.1,92,..,113.9,131.1
2007-02-01,84.8,89.2,..,114.2,130
2007-03-01,94.7,90.8,..,115.7,132.7
2007-04-01,99.1,95.3,..,117,135.8
2007-05-01,109.3,90,..,117.1,134.5
2007-06-01,102.4,87.9,..,118.6,138.8
2007-07-01,105.6,88.5,..,118.8,139.4
2007-08-01,98.7,89.6,..,119.1,143
2007-09-01,101.2,90.5,..,119.1,142.2
2007-10-01,92.4,93.8,..,118.3,143.3
2007-11-01,94.9,100.5,..,118.8,144.3
2007-12-01,95.7,110.3,..,118.6,144.7
2008-01-01,100.3,107,..,118.5,144.8
2008-02-01,100.5,103.8,..,118.7,145.5
2008-03-01,105.6,117.8,..,119.5,146.8
2008-04-01,112.5,123.3,..,121.2,151
2008-05-01,122.2,128.5,..,121.9,150.3
2008-06-01,128.9,134.8,..,123.7,155.3
2008-07-01,130.3,138,..,123.6,154.2
2008-08-01,122.4,127,..,123.6,154.9
2008-09-01,125.3,123.2,..,122.3,148.1
2008-10-01,107.8,125.5,..,121.3,149
2008-11-01,83,108.3,..,121.4,150.9
2008-12-01,71,91.5,..,121,152.1
2009-01-01,76,85.1,..,120.2,149.9
2009-02-01,80.6,80,..,121.5,151.5
2009-03-01,82.1,71.6,..,120.9,148.3
2009-04-01,82.3,74.6,..,120.5,146.2
2009-05-01,87.9,72.9,..,121.6,146.7
2009-06-01,93.3,79.2,..,122.2,147
2009-07-01,89.6,80.5,..,121.8,147.1
2009-08-01,93,82.2,..,122.1,148
2009-09-01,90.8,81.6,..,121.7,146.2
2009-10-01,88.2,83.5,..,121.8,146.3
2009-11-01,89.1,88.3,..,122.7,148.7
2009-12-01,84.8,87.2,..,122,147.9
2010-01-01,90.5,90,..,122.4,148.8
2010-02-01,86.9,84.6,..,122.9,148.8
2010-03-01,90.5,85.2,..,122.3,147.2
2010-04-01,91.4,89.4,..,122.6,146.1
2010-05-01,92.8,88.5,..,122.8,145.8
2010-06-01,87.2,84.2,..,122.7,147.4
2010-07-01,88.2,82.5,..,123.5,150.6
2010-08-01,90.4,87.4,..,122.9,149
2010-09-01,89.4,87.2,..,122.8,148.8
2010-10-01,91,94.7,..,123.3,149
2010-11-01,88.9,100.4,..,123,148
2010-12-01,95.2,102.2,..,123.1,150
2011-01-01,99.8,104.7,..,123.9,150.6
2011-02-01,100.8,103.9,..,124.3,151.5
2011-03-01,109.5,111.9,..,124.8,149.5
