Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,83.6,..,74.6,105.7,107.5
2005-02-01,87.4,..,75.8,105.9,107.4
2005-03-01,91.8,..,80.4,106.6,108.1
2005-04-01,96.8,..,81.9,107,108.3
2005-05-01,93.6,..,81.5,107.2,108.9
2005-06-01,95.3,..,81.5,107.1,108.9
2005-07-01,100.4,..,81.5,107.4,108.9
2005-08-01,107.4,..,81.5,108.2,108.9
2005-09-01,120,..,92.7,109.6,111
2005-10-01,108.6,..,96.1,109.1,112.1
2005-11-01,92.6,..,91.9,108.5,111.6
2005-12-01,97.3,..,84.2,108.6,110.9
2006-01-01,103,..,88.8,108.6,111.3
2006-02-01,93.6,..,88.4,108.3,111.4
2006-03-01,101.2,..,85.4,108.9,111.2
2006-04-01,114.9,..,90,110.2,113
2006-05-01,112.1,..,95,110.5,113.7
2006-06-01,111.4,..,95,110.3,113.8
2006-07-01,115.1,..,94.1,110.5,113.5
2006-08-01,117.2,..,94.1,110.7,113.9
2006-09-01,96,..,89.2,110,113.6
2006-10-01,92,..,80.9,109.7,113.3
2006-11-01,90.3,..,78.6,110,113.2
2006-12-01,97.1,..,75.5,109.7,113.1
2007-01-01,95.4,..,78,109.7,112.5
2007-02-01,93.9,..,79.1,110.6,112.6
2007-03-01,108.5,..,81.5,111.4,113
2007-04-01,112.2,..,83.6,111.9,113.9
2007-05-01,115.5,..,83.6,112.5,114.4
2007-06-01,111.6,..,83.6,112.5,115.4
2007-07-01,112.7,..,83.6,112.4,115.5
2007-08-01,103.1,..,83.6,112.2,115.8
2007-09-01,106.4,..,83.7,112.6,116.1
2007-10-01,102.7,..,83.7,112.3,117
2007-11-01,108.5,..,88.2,113.1,117.6
2007-12-01,111.1,..,96,113.1,119.2
2008-01-01,113.5,..,99.3,112.9,119.5
2008-02-01,110.7,..,98.3,113.4,119.6
2008-03-01,116.2,..,100.7,113.9,120
2008-04-01,120.3,..,110.9,114.8,121.3
2008-05-01,131,..,116.8,116.2,122.5
2008-06-01,139.5,..,116.8,116.9,123.1
2008-07-01,142.2,..,116.8,116.9,123.3
2008-08-01,131,..,116.8,116.9,123.5
2008-09-01,133.1,..,117.9,116.8,123.8
2008-10-01,115.1,..,109.1,115.8,123.6
2008-11-01,89.9,..,89.7,114.5,122
2008-12-01,77.7,..,83,113,121.4
2009-01-01,77.8,..,77.3,113.1,122.3
2009-02-01,86.5,..,71.8,113.9,121.8
2009-03-01,86.3,..,68,114.1,121.4
2009-04-01,89.6,..,74.6,114.7,122
2009-05-01,96.5,..,71.1,115.3,121.6
2009-06-01,105.3,..,71.1,116,121.5
2009-07-01,101.6,..,71.1,116.1,121.5
2009-08-01,103.8,..,71.1,116.2,121.4
2009-09-01,101.9,..,77.2,116.3,121.8
2009-10-01,98.5,..,73.9,115.4,121
2009-11-01,106,..,82.5,116.5,121.8
2009-12-01,101.2,..,82.5,115.8,121.8
2010-01-01,105.4,..,86.3,116.3,122.2
2010-02-01,102.8,..,83.2,116.3,121.8
2010-03-01,107.3,..,83.2,117,121.8
2010-04-01,106.8,..,84.6,117.3,122
2010-05-01,105.4,..,84.6,117.1,122.2
2010-06-01,100.3,..,84.6,116.7,122.3
2010-07-01,104.2,..,84.6,118,122.9
2010-08-01,104.5,..,84.6,118.1,123
2010-09-01,102.1,..,84.6,118.3,123.1
2010-10-01,108.3,..,86,118.6,123.6
2010-11-01,108.7,..,87,118.9,123.7
2010-12-01,114.1,..,90.2,118.6,124.1
2011-01-01,116.5,..,95.4,119.5,125.7
2011-02-01,116.2,..,99.2,120,125.9
2011-03-01,125.3,..,107.7,121.3,126.7
2011-04-01,132.8,..,111.7,121.9,127.1
2011-05-01,133.6,..,108.9,122.1,127
2011-06-01,126.6,..,108.9,121.5,127.1
2011-07-01,128,..,108.9,121.8,127.2
2011-08-01,126.8,..,108.9,122.2,127.2
2011-09-01,128.7,..,106.5,122.8,127
2011-10-01,126.4,..,106,122.9,127.3
2011-11-01,125.2,..,109,122.9,127.6
2011-12-01,121.5,..,111.3,121.6,127.9
2012-01-01,127.9,..,112.9,122.4,129.2
2012-02-01,132.2,..,113.4,123,129.3
2012-03-01,137.3,..,115.6,124,129.9
