Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,83.7,87.7,68,105.1,107.7
2005-02-01,85.2,89.9,71,105.4,107.8
2005-03-01,91.4,92.9,74.9,106.2,108.1
2005-04-01,94.5,96.4,73.7,106.2,108.4
2005-05-01,89.9,93.4,72.1,106.4,108.5
2005-06-01,96.5,94,72.1,106.7,108.6
2005-07-01,98.9,98.6,72.1,106.8,108.8
2005-08-01,107.4,102.4,72.1,107.3,109
2005-09-01,118.5,106.3,80.6,108.2,109.3
2005-10-01,105.2,108.2,83.4,107.5,109.9
2005-11-01,92.6,102.7,80.4,107.5,109.9
2005-12-01,92.4,99.7,79.3,107.3,110
2006-01-01,101.1,101.5,79.5,107.9,110.1
2006-02-01,92,97.8,79.3,107.9,110.2
2006-03-01,98.2,98.8,79.5,108.2,110.4
2006-04-01,111.8,106.2,80.4,108.9,111.2
2006-05-01,107.4,108.8,82.7,109,111.3
2006-06-01,106.3,108.2,82.7,108.8,111.6
2006-07-01,114.1,107,81.9,108.9,111.4
2006-08-01,112.7,111,81.9,108.9,111.8
2006-09-01,91.7,101.5,77.1,108.4,112.1
2006-10-01,88.5,94.3,71.2,108.6,112.6
2006-11-01,91.1,95.3,71.2,108.7,112.8
2006-12-01,94.3,98.8,76.2,108.6,113.1
2007-01-01,90.2,97,77.1,108.7,113.3
2007-02-01,93.6,94.2,80.3,109.5,113.6
2007-03-01,106.7,101.7,81.2,110.3,114
2007-04-01,110.1,105.3,81,110.5,114.4
2007-05-01,114.5,101.5,79.9,110.8,114.5
2007-06-01,105.1,101.8,79.9,110.5,114.6
2007-07-01,107.4,102.3,79.9,110.5,114.8
2007-08-01,102.7,102,79.9,110,115.1
2007-09-01,103.4,104,79,110.4,115.4
2007-10-01,102.3,105.8,81.5,110.4,116.3
2007-11-01,106.1,106.3,86.7,110.7,116.6
2007-12-01,109.9,119.8,97.2,111,117
2008-01-01,113.5,122.3,100.4,110.8,117
2008-02-01,114.4,120,100.8,111.3,117.4
2008-03-01,115.3,132,111,111.5,117.8
2008-04-01,123.8,136.5,116.2,112.2,118.6
2008-05-01,136,146.6,128.6,113.4,118.9
2008-06-01,142.8,156.8,128.6,113.8,119.5
2008-07-01,143.5,156.3,128.6,113.9,119.7
2008-08-01,128.3,142.5,128.6,113.3,120
2008-09-01,130.5,135,115.9,113.8,119.8
2008-10-01,111,126.9,111.2,112.9,119.7
2008-11-01,87.3,112.4,93.1,112.4,119.5
2008-12-01,79.1,103.2,83.4,111.8,119.5
2009-01-01,84.4,98.7,81.2,111.7,119.6
