Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,79.8,80.2,69.9,105.4,107.8
2005-02-01,85.4,84.6,77.5,105.7,108
2005-03-01,89.6,88.9,80,106.3,108.2
2005-04-01,94.4,87.9,80.1,106.9,108.5
2005-05-01,89.5,83.2,74.5,106.5,108.8
2005-06-01,91.7,84.2,74.5,106.7,108.9
2005-07-01,92.7,90.1,74.5,107.1,109.1
2005-08-01,100,91.6,74.5,107.4,109
2005-09-01,108.9,99.2,93.1,107.8,108.9
2005-10-01,103,108,99.5,107.3,108.8
2005-11-01,89.2,108.8,99.6,107.2,110
2005-12-01,88.3,98.2,86.5,107.1,110
2006-01-01,94,94.7,87.4,107.7,111
2006-02-01,89.1,92,81.3,107.8,111.8
2006-03-01,91.5,89,82.6,108.1,112.1
2006-04-01,108.1,97,86.4,108.9,111
2006-05-01,109.6,95.3,84.8,109.3,111.5
2006-06-01,108.9,97,84.8,109.3,111.8
2006-07-01,112.4,99,84,109.5,111.9
2006-08-01,117.4,106,84,110.1,112.4
2006-09-01,95.2,96.7,86.1,109.1,112.5
2006-10-01,91.8,85,77.8,109,113.7
2006-11-01,88.8,84.7,76.2,108.6,114
2006-12-01,88.8,83,76,108.8,114.7
2007-01-01,91.3,98.7,92.4,109.3,115.5
2007-02-01,91.5,90.7,84.8,109.7,116.2
2007-03-01,101.2,97,90.6,111,117.6
2007-04-01,105.2,97.7,90.5,111.5,118.2
2007-05-01,116.1,92.7,86.8,112,118.6
2007-06-01,111.4,92,86.8,112.3,120
2007-07-01,113.5,92.7,86.8,112.5,120.8
2007-08-01,107.3,94.7,86.8,112.2,121.5
2007-09-01,108.8,97.3,91.2,112.7,123.2
2007-10-01,101.3,96.7,93.9,112.3,124.3
2007-11-01,104,103.7,100.2,112.4,124
2007-12-01,104.7,114,110.2,112.2,124.6
2008-01-01,107.3,111.7,102.5,112.3,125.2
2008-02-01,107.8,103.3,104.2,112.7,125.7
2008-03-01,113.6,119,114.3,113.6,127.4
2008-04-01,122.1,124.7,120.2,114.4,128.1
2008-05-01,130.2,131.3,124.3,115.4,129.6
2008-06-01,137.2,137.9,124.3,116.2,130.3
2008-07-01,136,143.5,124.3,116.3,131.2
2008-08-01,130.8,132.3,124.3,116.4,132.1
2008-09-01,134.3,128.7,121.7,116.9,132.8
2008-10-01,118.3,127.2,121.8,116.6,136.2
