Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,78.8,80.3,69.2,105.4,107.9
2005-02-01,84.6,80.7,73.8,105.6,107.5
2005-03-01,90,86.2,75.8,106.2,108.1
2005-04-01,94.3,87.2,76.6,106.9,108.5
2005-05-01,89,87.2,73.1,106.3,108.3
2005-06-01,91.8,87.4,73.1,106.6,108.5
2005-07-01,96.9,87.9,73.1,106.8,108.3
2005-08-01,101.6,88.7,73.1,107.2,108.5
2005-09-01,110.9,101.4,91.6,107.7,108.8
2005-10-01,102.5,108.6,93.4,107.3,109.1
2005-11-01,92.1,105.9,96,107.2,110.3
2005-12-01,89.6,99.2,91.4,107.1,110.3
2006-01-01,91.9,94.8,88,107.9,111.9
2006-02-01,90.8,93,86.5,107.8,112
2006-03-01,95.3,90.8,81.3,108.1,112
2006-04-01,109.4,94.3,86.3,109.2,112.2
2006-05-01,109.6,97,88.7,109.6,112.7
2006-06-01,108,97,88.7,109.5,112.6
2006-07-01,114.3,100,87.9,109.8,112.7
2006-08-01,116.9,103.3,87.9,110.4,113.4
2006-09-01,94.8,96.5,89.2,109.3,113.2
2006-10-01,89.5,91.5,82.4,109.1,114.1
2006-11-01,86.9,88,79.3,108.7,113.9
2006-12-01,90.4,88.5,79.3,108.7,114.1
2007-01-01,90.5,96.7,93,109.5,116.1
2007-02-01,92.3,90.9,86,109.9,116.6
2007-03-01,101,92.3,90.5,110.7,116.6
2007-04-01,105.2,93.5,90.2,111.9,119.8
2007-05-01,116.2,95.5,89.7,112.4,120.2
2007-06-01,111.6,92.3,89.7,113.5,124.1
2007-07-01,114.9,91.8,89.7,114.1,127.1
2007-08-01,106.5,92.8,89.7,114.1,128.5
2007-09-01,108.5,93.8,90.8,114.4,129.6
2007-10-01,99.5,94.3,92.6,114.1,130.9
2007-11-01,103.9,100.5,95.5,114.3,131
2007-12-01,104.3,111,100.7,114,131.4
2008-01-01,107.3,110.5,105.1,114.2,132.6
2008-02-01,107.4,105.8,103.7,115,134.6
2008-03-01,113.5,118.5,110.1,116,136.4
2008-04-01,121.7,124.5,112.1,116.9,137.6
2008-05-01,129.3,129,122.2,117.6,138.2
2008-06-01,136.9,138.5,122.2,118.3,138.8
2008-07-01,135.5,139.7,122.2,118.1,138.2
2008-08-01,130.8,134.2,122.2,118.1,138.8
2008-09-01,135.2,127.9,121.7,118.3,138.3
2008-10-01,116.9,125.6,117.8,118,141.3
2008-11-01,91.9,115.7,110.8,117.8,141.5
2008-12-01,81.3,92.9,90.5,116.9,141.8
2009-01-01,86.5,86,87.3,116.9,142.7
2009-02-01,91,83.7,80.1,117.8,143.4
2009-03-01,91.3,76.6,72.3,117.8,143.1
2009-04-01,94,79.2,78.8,117.4,140.4
2009-05-01,97.9,76.9,75.7,118.1,140.2
2009-06-01,106.7,82.7,75.7,119.1,140.9
2009-07-01,102.9,84.9,75.7,119,141
2009-08-01,103.3,86.6,75.7,118.9,141.1
2009-09-01,100.8,87.2,86.4,118.5,141.3
2009-10-01,96.5,87.1,83.8,118.3,140.7
2009-11-01,99.3,94.2,91.6,118.6,139.7
2009-12-01,93.9,92.4,89.3,118.1,139.3
2010-01-01,100.6,95.3,92.2,118.5,140.4
2010-02-01,99,93.1,87.8,118.7,140.6
2010-03-01,101,91.9,87.7,118.9,141
2010-04-01,102.5,92.9,89.1,119.5,141.2
2010-05-01,105.1,93.2,94.4,119.6,141.5
2010-06-01,99.1,92.1,94.4,119.5,141.8
2010-07-01,100.8,93.5,94.4,119.6,141.9
2010-08-01,99.4,93.2,94.4,119.8,142.7
2010-09-01,101.7,94.4,94.4,119.8,142.7
2010-10-01,102.9,97.2,94,120.6,143.6
2010-11-01,100.1,101.5,94.7,120.8,143.2
2010-12-01,104.4,106.7,96.2,120.2,143.2
2011-01-01,111.7,108.7,103.1,120.9,143.8
2011-02-01,111.6,109.4,104.5,121.1,143.9
2011-03-01,119.6,118.9,106.2,122.1,144
2011-04-01,126.2,121.4,105.4,122.2,144.2
2011-05-01,132.2,122.2,91.7,123.3,144.2
2011-06-01,125.3,120.7,91.7,122.3,144.3
2011-07-01,122.7,118.2,91.7,122.5,144.5
2011-08-01,122.4,114.2,91.7,122.7,144.6
2011-09-01,124.3,115.4,105.8,123.5,144.6
2011-10-01,121.6,118.7,111.4,123.6,145
2011-11-01,117.9,126.7,111.1,123.9,145.2
2011-12-01,112.1,128.9,113.2,122.9,145.6
2012-01-01,115.2,125.9,114,123.4,146
2012-02-01,115.5,119.4,112.5,123.2,146.2
2012-03-01,122.9,120.9,115.7,124,146.3
2012-04-01,126.9,121.2,114.6,124.6,146.3
2012-05-01,126.2,125.9,113.4,125,146.3
2012-06-01,125.9,112.9,113.4,124.6,146.5
2012-07-01,125.9,109.9,113.4,124.4,146.6
2012-08-01,125.9,113.7,113.4,124.6,146.7
2012-09-01,127.9,118.9,112.7,124.9,146.7
2012-10-01,129.9,118.9,112,125.2,147.2
2012-11-01,121,117.4,96.1,125,147.2
2012-12-01,110.4,118.7,94.4,123.7,147.2
2013-01-01,103.8,119.9,94.4,123.8,147.2
2013-02-01,117.6,122.7,97.3,125,147.3
2013-03-01,120.3,124.9,92.8,125.3,147.3
2013-04-01,116.6,122.7,90.2,125.4,147.2
2013-05-01,125.2,120.7,91.4,126,147.5
2013-06-01,130.3,120.7,93.5,126.1,147.7
2013-07-01,128.5,120.5,95,125.9,147.7
2013-08-01,123.3,120.1,97.1,125.7,147.8
2013-09-01,122.7,122.1,117.1,126.4,148.2
2013-10-01,116.1,125.2,118.2,126.6,148.4
2013-11-01,113.2,125.1,122.8,126.2,148.8
2013-12-01,115.9,129.3,128.7,126,149
2014-01-01,112.4,132.5,125.2,126.4,150.3
2014-02-01,118.1,139.1,136.3,127.7,150.8
2014-03-01,127,143.3,135.2,128.6,150.9
2014-04-01,130.6,141.9,130.8,128.6,151.1
2014-05-01,129.1,141.9,131,129,151.2
2014-06-01,131.9,135.5,126.5,128.8,151.3
2014-07-01,128.6,130.7,127.8,128.8,152.6
2014-08-01,126.2,128.1,123.7,129,152.5
2014-09-01,124.3,127.5,120.7,129.1,152.8
2014-10-01,121.1,125.3,117.8,129.9,154.2
2014-11-01,108.3,129.3,128.7,129.1,154.1
2014-12-01,94.4,125.8,117.3,128.5,154.2
2015-01-01,84.9,110.1,100.6,128.5,155.3
2015-02-01,94.6,107.7,105,129.6,155.6
2015-03-01,99.2,107.5,103.9,130.7,155.7
2015-04-01,96.7,101.5,90,130.7,156.1
2015-05-01,100.4,99.7,93.5,131.3,156.3
2015-06-01,111.3,99.9,91.6,131.7,156.6
2015-07-01,109.7,98.7,91.2,131.6,156.8
2015-08-01,116.3,100.3,90,131.8,157.1
2015-09-01,102.5,96.5,89.8,131.4,157.5
2015-10-01,104.1,98.9,98.2,132,158.8
2015-11-01,99.7,98.7,95.2,132,158.6
2015-12-01,87.6,95.6,87.1,131,158.7
2016-01-01,77.7,87.5,78.8,131.5,159.2
2016-02-01,74,77.6,74.1,131.6,159.1
2016-03-01,84.4,80.5,79.2,132.7,159
2016-04-01,90.4,83.2,77.4,132.7,158.9
2016-05-01,95.3,87.3,83.4,133.1,158.9
2016-06-01,107.8,94.5,91.7,133.6,159
2016-07-01,91.8,94.7,89.3,133.1,159.5
2016-08-01,96.8,94.3,88.6,132.9,159.4
2016-09-01,97.3,94.9,89.1,132.8,159.3
2016-10-01,98.1,97,99.9,133.1,159.9
2016-11-01,86.5,99.4,92.8,132.2,160
2016-12-01,94.4,98.7,98,131.8,160
2017-01-01,102,98.8,97.8,133.6,162.3
2017-02-01,94.1,97.7,96.6,133.5,162
2017-03-01,92.4,98.1,95.2,133.5,162.1
2017-04-01,102.1,98.3,98,134.8,162.4
2017-05-01,95.8,97.8,89.7,134.4,162.4
2017-06-01,91.4,97.1,87.3,134.5,162.2
2017-07-01,93.6,92.6,87.9,134.4,162.1
2017-08-01,95.8,94.1,85.7,135.4,163.1
2017-09-01,99.9,97.2,89.1,135.4,163.1
2017-10-01,99,104.6,96.2,136.1,164.6
2017-11-01,108.5,114.1,106.2,137.3,165
2017-12-01,103.6,115,105.3,136.5,164.9
2018-01-01,107.4,118.3,109,137.1,165.7
2018-02-01,103.5,119.3,106.9,137.4,165.9
2018-03-01,109.4,117.8,106.1,137.5,166.5
2018-04-01,117.6,117.3,102,138.1,166.6
2018-05-01,123.1,119.7,111.4,138.5,167.1
2018-06-01,122.4,122.1,115.7,138,167
2018-07-01,125.8,121,113,138.5,167
2018-08-01,122.9,120.7,110.3,138.1,167.4
2018-09-01,121.8,121.8,112.9,137.8,167.7
2018-10-01,122.4,123.1,119.9,139.3,168.8
2018-11-01,114.1,123.5,117.6,138.5,168.5
2018-12-01,101.4,120.6,108.1,138,168.4
2019-01-01,95.7,115.6,98.1,138.2,169
2019-02-01,101,115.4,109.7,139,168.3
2019-03-01,110.9,118.6,113.9,139.7,168.7
2019-04-01,127.8,124.8,120,141,170.5
2019-05-01,128.3,126.7,116.8,141,169.7
2019-06-01,121.5,123.6,104.6,140.6,170.5
2019-07-01,118.2,122.6,116.8,141.1,170.4
2019-08-01,110.6,120.7,110.8,140.5,170.4
2019-09-01,108.2,119.9,103.6,140.1,168.9
2019-10-01,109.9,123.6,117.3,141.1,169.5
2019-11-01,101.6,126,120.5,141,171.3
2019-12-01,107.2,127.1,120.7,140.1,170.5
2020-01-01,110,126.9,115.8,141.1,171.4
2020-02-01,107.1,123.4,109.4,141.7,171.6
2020-03-01,85.2,108.6,101.8,140.8,171.9
2020-04-01,65.6,97.3,80.7,139.8,172.7
2020-05-01,85.7,92.1,73.7,140.6,171.3
2020-06-01,96.5,93,79.5,141.6,171.3
2020-07-01,103.3,96.9,83.6,141.8,170.7
2020-08-01,102,97.3,86.8,141.3,170.9
2020-09-01,103.6,97,87.3,141.5,172.2
2020-10-01,102,97.9,87.5,142.4,173
2020-11-01,97.5,99.2,85.6,142.4,173.2
2020-12-01,100,103.9,94.3,141.6,172.6
2021-01-01,103.8,106.8,96.8,142.7,172
2021-02-01,110.3,110.7,105.1,143.1,172
2021-03-01,119.7,119.2,115.5,143.5,170.7
2021-04-01,126.5,122.9,105.7,144.1,171.7
2021-05-01,125.3,124.6,102.8,144,171.7
2021-06-01,126.5,124.8,109.2,144.3,173.1
