Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,83.6,..,74.1,105.5,107.3
2005-02-01,88.2,..,76.6,105.8,107.7
2005-03-01,92.3,..,80,106.8,108.2
2005-04-01,95.9,..,83.9,107.1,109
2005-05-01,95.4,..,82,107,109.1
2005-06-01,94.3,..,82,106.9,109
2005-07-01,100.3,..,82,107.5,109.6
2005-08-01,107.4,..,82,108,109.5
2005-09-01,118.1,..,88.4,109.2,110.2
2005-10-01,107.3,..,92.3,108.4,111.8
2005-11-01,96,..,90.7,108.2,111.6
2005-12-01,96.3,..,83.8,108.3,111.2
2006-01-01,101.3,..,85,108.8,111.3
2006-02-01,96.3,..,87.3,108.7,112
2006-03-01,100,..,85.4,109.2,111.9
2006-04-01,114.6,..,88.1,110.1,112.4
2006-05-01,111.6,..,93,110.1,112.8
2006-06-01,111.3,..,93,110,112.8
2006-07-01,112.8,..,85.8,109.8,112
2006-08-01,115.5,..,85.8,110,112.2
2006-09-01,97.5,..,82.9,108.9,112
2006-10-01,87.5,..,74.1,107.9,112.3
2006-11-01,87,..,74.3,108.4,112.3
2006-12-01,90.6,..,81.4,109,114.4
2007-01-01,91.5,..,83.3,109.2,114.6
2007-02-01,88,..,83.1,109.6,114.8
2007-03-01,101.3,..,86.8,110.6,115
2007-04-01,105,..,87,111.2,115.2
2007-05-01,109.2,..,89.2,111.4,115.4
2007-06-01,107.8,..,89.2,112.1,117.5
2007-07-01,106.8,..,89.2,112.1,117.7
2007-08-01,100.1,..,89.2,111.4,117.9
2007-09-01,100.9,..,89.4,112,118.1
2007-10-01,98.2,..,90.3,111.4,118.5
2007-11-01,102.8,..,96.5,111.9,119.2
2007-12-01,105.8,..,103.1,111.9,119.6
2008-01-01,106.8,..,104.4,111.7,119.6
2008-02-01,105.4,..,101.2,111.6,119.5
2008-03-01,110.5,..,114.4,112.2,120.5
2008-04-01,113.6,..,121.5,112.7,121.2
2008-05-01,125.8,..,129.5,114,121.8
2008-06-01,134.2,..,129.5,114.5,122
2008-07-01,137.2,..,129.5,115,122.4
2008-08-01,125.8,..,129.5,114.4,122.7
2008-09-01,128.6,..,121.4,114.6,122.3
2008-10-01,112.9,..,117.3,113.5,122.9
2008-11-01,88.4,..,98.7,112.7,121.8
2008-12-01,75,..,84.5,111.2,121
2009-01-01,74,..,86.8,111.4,121.9
2009-02-01,82.2,..,77.4,112.1,121.6
2009-03-01,82.1,..,72.6,112.5,121.2
2009-04-01,85.1,..,78.3,112.7,122.2
2009-05-01,90.9,..,73,113.9,121.9
2009-06-01,99.9,..,73,114.6,121.8
2009-07-01,97.1,..,73,114.5,121.7
2009-08-01,98.5,..,73,114.2,121.7
2009-09-01,97.2,..,82.7,114.3,122.3
2009-10-01,93.1,..,82.6,114.4,123.8
2009-11-01,99.6,..,89.8,115.4,124.1
2009-12-01,97.4,..,87.4,114.8,123.8
2010-01-01,100.1,..,91.9,115.7,124.2
