Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,82.2,86.7,72.9,104.8,104.6
2005-02-01,88,90.9,79.8,104.9,104.5
2005-03-01,92,95.7,88.1,105.2,104.4
2005-04-01,101.4,95.9,88.7,105.7,104.4
2005-05-01,97,95.9,86.2,106,104.7
2005-06-01,96.7,94.9,86.2,106.1,105
2005-07-01,99.5,95.4,86.2,106.5,105.2
2005-08-01,105.3,97.3,86.2,106.5,105.2
2005-09-01,112.7,112.7,98.4,106.8,104.9
2005-10-01,104.6,112.9,101.1,106.7,106.2
2005-11-01,94.9,109.7,95.7,106.6,106.2
2005-12-01,90.8,102.7,87.4,106.3,106.1
2006-01-01,93.6,96,84.9,106.2,106.3
2006-02-01,89,95,80.4,106.3,107
2006-03-01,97.1,97,87.2,106.9,107.3
2006-04-01,110.7,101.5,89.2,107.5,107.4
2006-05-01,117.7,107.4,96.4,108.4,107.6
2006-06-01,113.1,108,96.4,108.4,107.6
2006-07-01,116,106.8,95.5,108.5,108
2006-08-01,114.3,110.5,95.5,108.7,108.4
2006-09-01,99.1,106.5,96.6,108.4,109.2
2006-10-01,96.2,96.3,79.2,108.4,109.7
2006-11-01,97.7,92.8,83.1,108.9,109.9
2006-12-01,101.4,95.8,84.1,109.1,110.1
2007-01-01,100.5,105.8,94.4,109,110.2
2007-02-01,99.9,99,89.5,109.3,110.4
2007-03-01,108.7,99,90.2,109.6,110.5
2007-04-01,116.7,101.3,93.2,110,110.2
2007-05-01,125,101.5,90.7,110.6,110.6
2007-06-01,110.8,99.3,90.7,110.5,111.6
2007-07-01,109.8,99,90.7,110.7,112.2
2007-08-01,105.3,99.5,90.7,110.6,112.4
2007-09-01,106.2,101,90.1,110.7,112.6
2007-10-01,101.8,102.3,97.6,110.4,113.1
2007-11-01,107.1,108,101.9,110.4,113.5
2007-12-01,105.7,111,102.6,110.5,113.7
2008-01-01,105.8,110.5,99,110.2,113.8
2008-02-01,109.9,110.3,100.3,110.7,114.2
2008-03-01,116.4,124.8,112.7,111.2,114.2
2008-04-01,122.5,131.8,119.7,112.1,114.9
