Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,90.3,88.7,77.7,103.1,105.1
2005-02-01,93.5,90.9,81.2,103.3,105.5
2005-03-01,97.4,94.9,80.7,103.9,106
2005-04-01,104.8,100.1,83.2,104.4,106.6
2005-05-01,103.5,98.9,83.4,104.9,106.5
2005-06-01,100.5,95.6,83.4,105.3,107.2
2005-07-01,106.3,100.9,83.4,105.4,107.6
2005-08-01,111,100.9,83.4,105.7,107.5
2005-09-01,120.5,106.9,94.9,106.8,109.6
2005-10-01,120.3,109.4,103.3,106.8,111.3
2005-11-01,110.3,108.8,109.5,107.1,112.5
2005-12-01,107.1,106.9,96.6,106.3,110.4
2006-01-01,104.9,106.3,93.6,106.4,110.2
2006-02-01,105.3,106.3,93.2,105.9,110.3
2006-03-01,100.4,101.8,89.2,105.9,109.9
2006-04-01,114.1,106.5,98.1,106.9,111.7
2006-05-01,113.4,109.3,96.9,107.5,111.8
2006-06-01,113.6,108,96.9,107.9,112.3
2006-07-01,116.3,109.5,96,107.5,112.5
2006-08-01,118.4,110.5,96,107.7,112.7
2006-09-01,112.3,112,100.5,107.2,114.1
2006-10-01,101.2,101.4,90.9,106.3,113
2006-11-01,95,99,89,106.3,112.9
2006-12-01,96,99,88.6,106.3,113
2007-01-01,99,106.6,102.9,107,115.6
2007-02-01,95,101.5,100.3,107.3,115.2
2007-03-01,99.3,105,101.1,108,115.7
2007-04-01,108.5,104.8,102.8,108.7,116.2
2007-05-01,112.5,108.8,98.6,109.5,115.9
2007-06-01,118.4,107,98.6,109.7,116.2
2007-07-01,118.6,106.5,98.6,110.7,118.6
2007-08-01,118.5,107.3,98.6,110.5,119
2007-09-01,118.4,108,100.3,110.8,120.8
2007-10-01,116.1,108.8,101.4,110.4,121.7
2007-11-01,114.6,111.5,107,110.7,122.8
2007-12-01,115.1,119.5,117,110.6,124.3
2008-01-01,114.7,120,115.5,110.4,124.4
2008-02-01,114.6,120,110.3,110.1,124.3
2008-03-01,116.8,121,117.6,111,125.6
2008-04-01,121.6,131,127.4,111.8,127.1
2008-05-01,135.9,140,134.4,113.6,128.2
2008-06-01,141.4,147,134.4,114.6,128.8
2008-07-01,144.4,151.3,134.4,115.3,129
2008-08-01,140.1,150.7,134.4,115.4,129.4
2008-09-01,138.9,144.7,137.7,114.8,129.9
2008-10-01,130.5,139.3,136.3,114.9,131.9
2008-11-01,105.1,128.2,120.8,114.6,132.1
2008-12-01,91,112.4,103.8,113.9,131.5
2009-01-01,85.2,104.4,97.3,113,131.1
2009-02-01,90.5,104.4,97.5,113.7,131.8
2009-03-01,98.8,101.2,88.2,113.6,128.6
2009-04-01,98.5,98.4,90.3,113.4,128.2
2009-05-01,98.8,97.9,89.4,114,128
2009-06-01,105.5,100.2,89.4,114.9,127.9
2009-07-01,106.3,101.4,89.4,114.4,127.2
2009-08-01,103,102.9,89.4,114.2,127.1
2009-09-01,100.8,102.7,96.8,113.7,127.7
2009-10-01,101.5,104.9,98,113.4,127.6
2009-11-01,99.8,103.2,106,113.9,128
2009-12-01,99.7,104.2,103.6,113.4,127.1
2010-01-01,110.7,108.2,107.1,113.9,127.5
2010-02-01,112.2,106.9,102.9,114.4,127.2
2010-03-01,112.5,108.9,103.3,113.4,127
2010-04-01,112.5,106.7,104.3,113.6,127.1
2010-05-01,112.5,109.9,105.4,114.3,127.3
2010-06-01,112.5,108.7,105.4,115.1,128.9
2010-07-01,112.5,109.7,105.4,115.1,129.8
2010-08-01,112.9,109.7,105.4,115.1,129.8
2010-09-01,112.9,111.2,102.9,115.1,129.6
2010-10-01,112.9,116.2,108.1,115.5,131.1
2010-11-01,112.9,120.4,110.1,115.7,131.2
2010-12-01,112.9,122.4,115.2,115.6,131.8
2011-01-01,118.5,128.4,118.3,115.9,132.3
2011-02-01,119.9,129.4,119.3,115.9,132.3
2011-03-01,126.7,133.4,125.7,117,133
2011-04-01,132.2,136.9,128.8,117.3,133.6
2011-05-01,136.9,138.2,130.2,118.4,133.8
2011-06-01,137.2,137.2,130.2,118.6,134.6
2011-07-01,132.8,134.9,130.2,118.7,135.1
2011-08-01,130.2,133.2,130.2,118.6,135.2
2011-09-01,128.7,134.2,127.8,119,135.9
2011-10-01,128.7,134.9,131.3,119.1,136.9
2011-11-01,128,142.2,132,119.4,137
2011-12-01,125.9,145.2,135.8,118.8,137.4
2012-01-01,125.9,143.2,135.5,118.8,137.4
2012-02-01,125.9,141.2,133.4,119,137.1
2012-03-01,131.5,141.1,135.8,120.1,139.2
2012-04-01,136,140.9,134.4,120.7,139.1
2012-05-01,136.5,140.2,134.4,121.5,139
2012-06-01,136,134.9,134.4,121.3,139.6
2012-07-01,136,133.2,134.4,121.4,139.7
2012-08-01,136,135.7,134.4,121.5,139.6
2012-09-01,136,138.4,134.4,121.4,139.5
2012-10-01,136,141.2,133.4,121.6,140.5
2012-11-01,134.5,136.9,132.7,121.6,140.3
2012-12-01,131,138.2,131.3,121.1,140.4
2013-01-01,129.8,140.7,131.3,120.8,141.3
2013-02-01,128.2,137.9,133.4,121.2,141.6
2013-03-01,128.8,142.9,131.3,121.5,141.7
2013-04-01,127.9,142.2,129.5,121.6,141.4
2013-05-01,133.4,139.9,128.5,122.6,141.2
2013-06-01,147.9,140.4,130.6,124.1,142.9
2013-07-01,140.5,135.9,130.6,124,144.5
2013-08-01,140.2,137.9,131.3,124.1,144.6
2013-09-01,139.9,137.9,133.4,124,144.9
2013-10-01,139.9,140.4,132.7,123.6,145.1
2013-11-01,131.3,143.4,134.8,123,145.5
2013-12-01,128.8,143.7,135.1,123.2,147.6
2014-01-01,128.7,146.7,137.2,123.4,148
2014-02-01,131.9,152.2,137.2,124,148
2014-03-01,135,152.2,135.8,124.3,147.8
2014-04-01,133.9,152.4,137.9,124.4,148.2
2014-05-01,140.2,153.2,137.9,125.1,148.1
2014-06-01,140.4,151.9,135.5,125.3,147.6
2014-07-01,140.9,149.9,137.2,125.2,147.2
2014-08-01,135.1,146.3,139,125.1,147.4
2014-09-01,134.3,146.2,133.4,124.9,146.6
2014-10-01,132.8,146.9,131.6,124.3,146.3
2014-11-01,128.7,146.9,130.2,123.9,146.1
2014-12-01,118.9,140.4,126,123.1,145.5
2015-01-01,101.4,132.9,112.7,121.8,144.3
2015-02-01,97.4,128.3,112.4,122.1,144.4
2015-03-01,105.4,127.9,109.9,123,144.1
2015-04-01,109.4,124.4,108.2,123.5,143.9
2015-05-01,112.3,124.4,108.5,124.4,143.6
2015-06-01,117.7,124.4,107.5,125.1,143.5
2015-07-01,118.9,124.4,109.2,125.4,143.3
2015-08-01,124.9,125.4,106.8,126,143.2
2015-09-01,119.9,124.4,107.5,125.6,142.8
2015-10-01,119.8,122.7,104.7,124.5,142.8
2015-11-01,114.3,121.2,106.1,124,143
2015-12-01,101.2,119.1,103.6,124.1,146
2016-01-01,98.2,111.7,101.2,124.1,143.3
2016-02-01,90.8,100.7,88.6,123.7,141.3
2016-03-01,94.7,100.9,89.6,124.2,141.5
2016-04-01,99.8,100.1,89.3,124.4,142.4
2016-05-01,107.2,103.4,90,125.2,142.6
2016-06-01,121.6,110.2,91,126.6,144.5
2016-07-01,117.3,110.2,90.3,126.4,145
2016-08-01,115.9,108.9,89.6,126.4,144.9
2016-09-01,115.9,110.2,95.6,125.9,145.6
2016-10-01,115.9,111.9,101.5,126.1,146.6
2016-11-01,113.7,112.7,102.2,126.1,146.8
2016-12-01,112,110.2,100.5,126.1,146.6
2017-01-01,119.1,113.2,102.6,126.9,147.1
2017-02-01,119.8,114.2,100.8,127,146.7
2017-03-01,119.8,112.4,101.9,127.5,146.9
2017-04-01,119.5,114.2,103.9,127.6,147.5
2017-05-01,117.4,114.4,99.4,127.8,147.1
2017-06-01,113.7,114.4,98.7,127.3,146.9
2017-07-01,111.3,112.2,97.7,127.2,146.2
2017-08-01,110.7,113.2,99.8,126.6,147.3
2017-09-01,117.9,111.4,102.2,127.3,148.4
2017-10-01,113.1,114.9,105,127.3,149
2017-11-01,127,121.8,115.5,129,150.5
