Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,76.6,78.1,69.2,104.9,105.7
2005-02-01,80.2,82.9,76.5,105.1,105.7
2005-03-01,84.1,85.6,77.7,105.5,105.8
2005-04-01,89.1,85.2,79.8,106.1,106.5
2005-05-01,87.5,82.9,75.6,106.4,107.2
2005-06-01,87.7,81.9,75.6,106.6,107.3
2005-07-01,92.5,87.6,75.6,106.8,108
2005-08-01,98.3,88.9,75.6,107.2,108.1
2005-09-01,106.7,98.1,92.5,107.7,108.2
2005-10-01,102.1,104.2,97.7,107.3,108.1
2005-11-01,89.3,102.2,95.7,107.1,108.4
2005-12-01,86,95.9,88.3,106.7,108.6
2006-01-01,88.4,93.3,86.8,107.2,109.2
2006-02-01,84.2,87.3,85.5,107,109.4
2006-03-01,91.6,87.7,83.3,107.5,109.6
2006-04-01,104.8,93.3,85.9,108.3,110.3
2006-05-01,105.7,93.3,86.6,109,110.3
2006-06-01,105,95.3,86.6,109.1,110.7
2006-07-01,110.7,97.3,85.8,109.5,110.6
2006-08-01,113.5,101,85.8,109.5,110.5
2006-09-01,92.5,92.6,90.4,108.6,110.3
2006-10-01,88.3,83.3,78.1,108.9,111.8
2006-11-01,87.3,79.7,75.9,109,111.8
2006-12-01,87.1,82.7,77.1,108.6,112
2007-01-01,87,97,93.9,109,112.8
2007-02-01,88,90.3,85.8,109.4,113.2
2007-03-01,98.3,95,88.1,110.3,113.5
2007-04-01,101.8,95.3,90.8,110.8,113.9
2007-05-01,112.1,92.3,89.6,111.4,114.7
2007-06-01,111.1,92.3,89.6,111.3,114.7
2007-07-01,112.4,92.7,89.6,111.9,115.3
2007-08-01,104.3,92.7,89.6,111.1,115.5
2007-09-01,106.7,93.3,90.2,111.6,116.1
2007-10-01,100.5,93.7,89.1,110.9,116.2
2007-11-01,100.9,102,93.7,110.7,116.2
2007-12-01,103.5,113.3,108,110.7,116.7
2008-01-01,106.2,107.7,104.7,110.7,116.9
2008-02-01,106.9,104.3,100.3,111.1,117.4
2008-03-01,110.9,116.7,110.1,111.7,117.7
2008-04-01,118.9,123.7,118.9,112.6,118.5
2008-05-01,126.7,132,125.1,113.4,119.3
2008-06-01,133.2,139.7,125.1,114.2,119.7
2008-07-01,135.6,142.3,125.1,114.8,120.4
2008-08-01,129.2,130.3,125.1,114.9,121.1
2008-09-01,134.6,125,123.7,115,121.2
2008-10-01,116.9,122.9,121.9,114.2,121.8
2008-11-01,91.4,114.4,114.5,113.6,121.8
2008-12-01,79.3,94.9,95.1,112.9,122
2009-01-01,82.9,88.4,91.3,112.3,122.4
2009-02-01,86.4,82.9,84.6,113,122.1
2009-03-01,86.9,74.9,75.7,112.9,122.1
2009-04-01,89.5,79.4,79.6,113.5,122.3
2009-05-01,94.5,77.4,75.6,114.2,121.5
2009-06-01,102.9,85.9,75.6,114.9,121.7
2009-07-01,99.8,86.4,75.6,114.8,121.7
2009-08-01,99.7,87.4,75.6,114.3,121.5
2009-09-01,100.2,86.4,88.1,114.3,121.5
2009-10-01,95.9,89.4,85.7,114.2,121.1
2009-11-01,98.5,92.9,93.9,114.5,120.5
2009-12-01,96,90.9,91.4,114,120.3
2010-01-01,98.9,92.9,95.9,114.1,120.5
2010-02-01,98.9,92.4,91.5,114.4,120.4
2010-03-01,98.7,90.4,92.2,114.5,120.6
