Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,95.9,79.9,68.1,104.6,109.5
2005-02-01,96.8,81.2,75.2,104.8,110.6
2005-03-01,96.9,90.4,78.5,104.9,111
2005-04-01,100.5,89.9,76.7,105.2,110.9
2005-05-01,102.8,89.9,74.5,106.1,110.9
2005-06-01,102.8,89.9,74.5,106.4,110.9
2005-07-01,103.5,90.3,74.5,106.4,111.6
2005-08-01,108,94.7,74.5,106.3,111.5
2005-09-01,119.6,102.8,89.7,107,113.4
2005-10-01,116.7,103.5,102.4,107.5,114.9
2005-11-01,110,107.5,98,107.8,114.4
2005-12-01,106.5,102.9,88.7,107.8,114.3
2006-01-01,105.1,102,85.4,107.4,115.3
2006-02-01,104.2,107,84.2,107.3,115.1
2006-03-01,104.6,105,82.1,107,115
2006-04-01,114.2,114,87.3,107.9,115.7
2006-05-01,116,114.3,88.4,108,115.2
2006-06-01,116,113.8,88.4,107.7,115.4
2006-07-01,119.3,114.5,87.5,107.8,114.6
2006-08-01,123,114.3,87.5,108,114.7
2006-09-01,105.5,107,91.6,107.8,115.6
2006-10-01,102.3,105,78.9,107.1,114.3
2006-11-01,102,103.5,79.5,107.6,114.4
2006-12-01,102.3,103.5,77.3,108.4,116.9
2007-01-01,100.5,104,96.1,108.9,119.2
2007-02-01,101.6,105,87.7,109.1,118.4
2007-03-01,113.9,107,92.8,109.8,119.1
2007-04-01,118.3,109.8,95.3,110.4,121.1
2007-05-01,126.8,110,94.7,111.3,121.2
2007-06-01,128.3,107.8,94.7,111.6,121.4
2007-07-01,127.1,105.3,94.7,111.5,121.9
2007-08-01,123.5,105.3,94.7,111.1,122.3
2007-09-01,123.6,105.3,96.2,111.6,123.2
2007-10-01,118.8,105.3,96.2,111.1,123.8
2007-11-01,117.1,109,99.3,110.9,124.8
2007-12-01,116.3,111.8,113.8,111.9,127.7
2008-01-01,115.6,118,113.8,111.3,128
2008-02-01,116.8,119.5,114,112.3,130
2008-03-01,125.4,127,119.7,113.3,131.3
2008-04-01,132,133.5,127.8,114.9,133.6
2008-05-01,141.3,141.3,128.5,115.7,134.1
2008-06-01,146.4,149.3,128.5,116.6,134.5
2008-07-01,150,152.8,128.5,116.6,135
2008-08-01,147.1,149.8,128.5,116.9,135.1
2008-09-01,149.6,143,137,117.2,136.9
2008-10-01,134.5,143.2,126.2,116.3,135.5
2008-11-01,115.7,139.4,117.3,116.1,134.4
2008-12-01,99,122.3,101,115.4,134.1
2009-01-01,97.6,120.2,93.5,114.3,133.6
2009-02-01,101.5,114.7,89.6,114.5,133
2009-03-01,102.8,88.2,82.3,114.3,131.8
2009-04-01,104.5,88.2,84,115.3,132.8
2009-05-01,107,91.9,83,116,132.6
2009-06-01,118.7,97.2,83,116.9,132.4
2009-07-01,119.2,98.9,83,116.5,132.5
2009-08-01,117.4,102.2,83,116.3,132.3
2009-09-01,117.4,100.9,87,116.4,132.8
2009-10-01,117.3,102.2,88.9,116.3,132.6
2009-11-01,117.1,102.2,93.5,116.7,132.8
2009-12-01,117,102.2,94.2,116.8,133.9
2010-01-01,116.9,102.2,97.3,116.8,135
2010-02-01,116.9,102.2,93.8,117.4,134.3
2010-03-01,116.9,102.2,93.1,116.9,134.1
2010-04-01,116.9,102.2,94.5,117.2,134.3
2010-05-01,116.9,102.2,94.5,117.8,134.4
2010-06-01,116.9,102.2,94.5,118.4,134.5
2010-07-01,116.9,102.2,94.5,118,134.6
2010-08-01,116.9,102.2,94.5,118,134.6
2010-09-01,116.9,102.2,92.8,118.1,134.4
2010-10-01,116.9,104.2,100.1,118.4,136.2
2010-11-01,117.1,104.7,105.6,119.1,137
2010-12-01,116.9,108.8,109.3,119.2,138.1
2011-01-01,116.9,109.2,112.7,119.3,138.6
2011-02-01,117.4,109.2,112.7,119.2,138.5
2011-03-01,128.2,121.5,120.1,120.5,139.7
2011-04-01,132.7,127.6,122.9,120.9,140.1
2011-05-01,138.9,128.7,122.9,121.6,140.3
2011-06-01,138.9,127.4,122.9,121.6,140.3
2011-07-01,138.9,127.4,122.9,122,140.7
2011-08-01,138.9,127.4,122.9,122,140.9
2011-09-01,138.9,127.4,117.3,122.3,140.5
2011-10-01,138.9,126.8,120.6,122.6,141
2011-11-01,138.9,132.2,120.6,123.4,141.1
2011-12-01,138.9,135.2,126.7,123.4,144.2
2012-01-01,138.9,135.6,125.7,124.1,144.4
2012-02-01,138.9,135.1,123.9,123.1,144.1
2012-03-01,138.5,137.7,123.9,123.6,144.1
2012-04-01,138.9,135.6,123.9,125.1,145.1
2012-05-01,138.9,135.9,123.9,124.9,144.4
2012-06-01,138.9,135.6,123.9,124.5,144.4
2012-07-01,138.9,135.6,123.9,124.3,144.9
2012-08-01,138.9,135.6,123.9,124.3,144.8
2012-09-01,138.9,135.6,120.1,123.9,144.2
2012-10-01,138.9,135.6,120.1,124.4,144.1
2012-11-01,138.9,135.6,118,124.9,143.9
2012-12-01,138.9,135.6,118,124.8,145.9
2013-01-01,138.9,135.6,120.1,125.1,145.8
