Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,76.8,79.5,70.2,105,108.1
2005-02-01,78.5,80.8,72.3,105.7,108.9
2005-03-01,82.4,81.7,75.5,106.4,109.2
2005-04-01,87,85.8,78.4,106.4,109.1
2005-05-01,82.9,82.7,75.1,106.5,109.5
2005-06-01,87.1,86.7,75.1,106.6,109.7
2005-07-01,91.6,89.6,75.1,106.8,110.1
2005-08-01,97.6,93.6,75.1,107.5,110.5
2005-09-01,108.8,99.7,80.9,108.3,110.6
2005-10-01,97.1,101.9,84.4,107.7,111.3
2005-11-01,85.6,95.1,84.1,107.5,111.5
2005-12-01,86.1,88.3,83,107.6,111.5
2006-01-01,91.9,93.7,84.4,108.1,112.6
2006-02-01,84.6,91.4,84.4,107.8,112.9
2006-03-01,89,92,84.1,108.6,113.1
2006-04-01,100.6,97,84.4,109,112.5
2006-05-01,94.5,98.5,85.1,109.4,113.8
2006-06-01,98,99.5,85.1,109.2,113.9
2006-07-01,105.2,98.2,84.3,108.9,113.3
2006-08-01,103.2,103.2,84.3,109,113.6
2006-09-01,85.4,94.4,78.3,108.3,113.7
2006-10-01,83.5,89.4,77.3,108.2,114
2006-11-01,83.1,86.7,72.8,108.5,113.5
2006-12-01,87.7,89.2,74.9,108.6,114
2007-01-01,82.5,88.5,82,108.5,114.2
2007-02-01,89.3,89.8,84.7,109.6,114.2
2007-03-01,99.5,95,84.9,110.7,114.5
2007-04-01,101.8,95.3,85.6,111.1,115.4
2007-05-01,106.6,93.8,85.8,111.5,115.8
2007-06-01,103.3,92.3,85.8,111.1,116
2007-07-01,101.2,93,85.8,111.1,115.7
2007-08-01,96.3,93.5,85.8,110.9,115.9
2007-09-01,97.3,96.3,86.8,110.9,116.1
2007-10-01,95.1,96.8,86.8,110.7,116.9
2007-11-01,101.5,99.5,88.6,110.9,116.1
2007-12-01,102.3,107.3,99.2,110.8,116.3
2008-01-01,104.1,111,102.8,110.4,115.8
2008-02-01,104.7,108.8,101.8,111,116.2
2008-03-01,107.1,119.5,109.9,111.3,116.7
2008-04-01,113.8,123.5,115,112.1,117.5
2008-05-01,123.9,133.3,127.5,113.4,118.6
2008-06-01,129.9,142,127.5,114,118.9
2008-07-01,130.2,143.3,127.5,115,121.8
2008-08-01,120.4,129.3,127.5,114.8,121.8
2008-09-01,119.9,123.4,116.1,115,121.6
2008-10-01,102.2,116.6,111.6,113.6,121.9
2008-11-01,78.8,106.1,99.7,113.3,122.5
2008-12-01,69.5,94.6,88.5,112.7,122.6
2009-01-01,74.2,89.3,85,112.3,122.5
2009-02-01,76.8,85.6,80.8,113,122.5
2009-03-01,80.8,83.8,75.4,113.6,122.4
2009-04-01,80.9,83.8,80.3,113.1,120
2009-05-01,89.3,80.4,75.7,114,120.6
2009-06-01,94.4,86.5,75.7,114.2,120.7
2009-07-01,89.5,87.6,75.7,113.8,120.3
2009-08-01,93.7,91.7,75.7,113.8,120.2
2009-09-01,90.5,89.7,77.8,113.9,120.1
2009-10-01,91.6,89.2,80.1,114.1,120.7
2009-11-01,94.7,93.2,88.3,114.6,120.4
2009-12-01,91.3,92.9,89.2,114.1,120.5
2010-01-01,95.2,96.3,94.1,114.4,120.7
2010-02-01,94.9,94.8,92.7,115.1,120.8
2010-03-01,98.3,94.4,93,115.3,121.3
2010-04-01,98.2,95.6,93.7,115.8,122.7
2010-05-01,96,96.1,90.9,116.4,124.4
2010-06-01,94.4,93.1,90.9,116.1,124.3
2010-07-01,101.4,98.5,97.9,117.2,125.5
2010-08-01,100.2,100.6,97.9,117.1,125.2
2010-09-01,101.1,99.5,92.6,117.3,125.1
2010-10-01,106.4,104.5,96.5,117.9,125.9
2010-11-01,108.7,106.1,99.3,118.1,125.6
2010-12-01,111.3,110,108.4,118.1,126.1
2011-01-01,114.3,114.1,112.9,117.9,125.3
2011-02-01,114,119.7,117.1,118.2,124.8
2011-03-01,121,126.2,125,119.5,124.8
2011-04-01,127.8,130.1,126.5,120,124.9
2011-05-01,128.3,125.3,123.1,121,125.8
2011-06-01,125,122.4,123.1,120.2,125.6
2011-07-01,127.1,123.4,123.1,120.4,126.2
2011-08-01,125.6,122.9,123.1,120.5,126.1
2011-09-01,125.1,122.5,112.2,121.1,126
2011-10-01,123.3,123,117.1,121.1,126.5
2011-11-01,119.4,128.8,125.3,121,126.6
2011-12-01,117.6,130.9,129.5,120.3,126.9
2012-01-01,121.8,130.2,131.8,120.6,127
2012-02-01,124,130.4,133.3,121.4,126.9
2012-03-01,126.3,131.9,132.9,122,127
2012-04-01,130.6,132.2,131.4,122.4,127
2012-05-01,125.5,128.7,128.8,122.3,127.6
2012-06-01,119.1,120.9,128.8,121.4,127.7
2012-07-01,120.7,119.5,128.8,121.3,128
2012-08-01,124.7,119.3,128.8,121.7,128
2012-09-01,127.1,125.5,114.1,121.9,127.6
2012-10-01,124.8,124.9,117.8,122.1,128.1
2012-11-01,122,122.3,120.8,121.9,128
2012-12-01,118.5,124.5,123.8,121.2,128.3
2013-01-01,120.1,129.9,129.5,121.3,128.6
2013-02-01,128.3,135.9,137.4,122.7,128.7
2013-03-01,127.1,134.7,137.5,123.1,128.7
2013-04-01,123.3,129.5,129.9,122.8,128.6
2013-05-01,122.4,123.1,122.7,122.9,128.9
2013-06-01,126.9,122.7,117.5,123,129
2013-07-01,130.2,123.9,117.5,123.3,129.4
2013-08-01,129.9,125.3,113.7,123.2,129.3
2013-09-01,129.8,128.9,119.4,123.3,129.4
2013-10-01,123.9,126.2,120.9,123.1,129.2
2013-11-01,123.3,126.3,122,123,129.8
2013-12-01,125.8,133,132.5,122.8,129.9
2014-01-01,125.2,137.5,137.9,123,130.4
2014-02-01,128.7,142.7,146.9,124.2,130.5
2014-03-01,130,141.8,143.9,124.7,130.5
2014-04-01,133.2,136.6,140.4,125.3,133
2014-05-01,134.2,133.6,137.1,125.9,133.2
2014-06-01,137.4,133.1,128.4,126.3,133
2014-07-01,134.6,130.9,125.8,125.9,132.5
2014-08-01,128.1,129.5,125.8,125.9,132.4
2014-09-01,126.2,126.7,124.6,126.1,132.3
2014-10-01,120.8,123.6,124.6,126.1,132.5
2014-11-01,111,122.5,118.3,125.5,132.6
2014-12-01,97.9,120.5,120.1,124.7,132.9
2015-01-01,88.6,111.1,112.2,124.5,133.2
2015-02-01,98.2,113.5,112.2,125.4,133.3
2015-03-01,103.9,120.4,126.5,126.2,133.5
2015-04-01,103.1,112.1,118.2,126,133
2015-05-01,109.8,112.7,114.9,126.9,133.6
2015-06-01,115.6,111.2,111.8,127.4,133.9
2015-07-01,119,108.5,109.2,127.6,134.4
2015-08-01,110.6,103.4,102.8,127.1,134.3
2015-09-01,101.7,100.2,90.7,126.8,134.5
2015-10-01,98.2,99,95.3,126.8,133.9
2015-11-01,100.5,101.6,104.1,126.8,134
2015-12-01,96,100.7,106.7,126.3,134.1
2016-01-01,86.9,93.7,102.8,126.5,134.5
2016-02-01,85.1,89.3,98.6,126.8,134.3
2016-03-01,90.6,90.9,99,127.5,134.2
2016-04-01,99.8,87.5,99,128.1,134.4
2016-05-01,104.5,89.9,99,128.7,134.8
2016-06-01,104.9,95.5,92.6,128.8,134.9
