Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,Household heating fuel,CPIAll Items,CPIShelter
2005-01-01,83.2,82.2,76,105.3,106.8
2005-02-01,88.4,86.2,81.6,105.5,107
2005-03-01,92.8,96.4,89.4,105.9,107.2
2005-04-01,101.4,95.2,88.2,106.5,107.6
2005-05-01,100.3,92.7,88.6,106.8,107.7
2005-06-01,97.5,89.4,88.6,106.9,107.9
2005-07-01,101.4,93.9,88.6,107.2,108.2
2005-08-01,107.8,98.9,88.6,107.3,108.1
2005-09-01,116.1,109.9,98,108,109.1
2005-10-01,109.5,111.8,105.4,107.9,110.2
2005-11-01,99.1,106,101.5,107.8,110.1
2005-12-01,92.3,98.9,94.8,107.4,109.8
2006-01-01,94.7,95,91.7,107.2,109.5
2006-02-01,93.7,93,89.7,107.3,109.8
2006-03-01,98.2,99,91.5,107.6,109.6
2006-04-01,112.5,101.5,93.8,108.4,110.4
2006-05-01,118.2,105.8,100.2,109.2,110.5
2006-06-01,116.7,107.5,100.2,109,109.9
2006-07-01,115.2,105.8,99.3,109.2,110.4
2006-08-01,118,111.5,99.3,109.3,110.3
2006-09-01,100.5,107.5,102.2,108.8,110.6
2006-10-01,99,93.5,85.6,108.6,110.6
2006-11-01,97.5,92.3,87.1,108.9,110.4
2006-12-01,101,96.8,88.3,109,110.6
2007-01-01,103.3,101.5,99.9,109.1,110.6
2007-02-01,98,96.5,95.4,109.3,110.8
2007-03-01,106.9,98,95.5,109.7,110.8
2007-04-01,116.9,100.8,98.1,109.9,110.3
2007-05-01,122.7,101,97.5,110.2,110
2007-06-01,112.4,98.8,97.5,109.9,109.5
2007-07-01,111.4,98.3,97.5,110.1,109.9
2007-08-01,106.8,101.3,97.5,110,109.9
2007-09-01,107.7,100,98.3,110.1,110.4
2007-10-01,101.8,102.8,102.8,109.5,110.4
2007-11-01,104.5,109.8,107,109.6,110.9
2007-12-01,107.4,113.5,111.6,109.7,111.3
2008-01-01,107.7,109.5,109.5,109.4,111.3
2008-02-01,109.4,108.8,109.5,109.8,111.6
2008-03-01,116,123.8,120.3,110.4,111.9
2008-04-01,122.7,129.8,128.1,111.4,112.9
2008-05-01,133.8,139,135.2,112.3,112.9
2008-06-01,143.5,146.8,135.2,113,112.9
2008-07-01,150.5,149.5,137.9,113.3,113
2008-08-01,142,141.5,137.9,113.2,113.2
2008-09-01,138.2,138,140.7,113.3,113.4
2008-10-01,123.1,131.9,132.9,112.3,113.9
2008-11-01,98.9,116.2,123.4,111.9,113.5
2008-12-01,84.4,102.2,105.5,111,113.2
2009-01-01,91.7,94.4,92,111,113.1
2009-02-01,96.3,89.9,90.9,111.4,112.8
2009-03-01,96.4,86.2,80.7,111.6,112
2009-04-01,98.5,92.7,91.1,111.9,112.2
2009-05-01,105,90.9,92.5,112.6,112.1
2009-06-01,107.2,92.4,92.5,112.5,111.1
2009-07-01,105.2,96.9,93.9,112.1,110.1
2009-08-01,105.7,96.5,93.9,112.3,110.1
2009-09-01,108.1,100.4,96.6,112.2,110
2009-10-01,101.1,98.9,94.3,111.7,110.5
2009-11-01,105.4,100.7,99,111.9,110.2
2009-12-01,103.9,99,100.6,111.5,110.1
2010-01-01,103.8,102.1,102.5,111.6,110.2
2010-02-01,102.5,100.3,103.2,112.5,110
2010-03-01,105.4,103.4,107.8,112,109.9
