Date,Regular unleaded gasoline at self service filling stations,Diesel fuel at self service filling stations,CPIAll Items,Core,CEER,WTI
2005-01-01,72,74.5,105.3,104.5,117.56,46.84
2005-02-01,76.4,79.9,105.5,104.8,116.19,48.15
2005-03-01,81.7,81.7,106,105.2,118.27,54.19
2005-04-01,86.4,81.4,106.9,105.2,116.75,52.98
2005-05-01,83.1,79.2,106.8,105.4,115.06,49.83
2005-06-01,84,80.7,107.3,105.4,117.31,56.35
2005-07-01,90.2,83.8,108,105.4,119.43,59
2005-08-01,93.4,84,108,105.6,120.5,64.99
2005-09-01,102.7,93.1,109.1,105.9,123.3,65.59
2005-10-01,95.9,103.2,108.9,105.9,124.03,62.26
2005-11-01,82.7,102.4,108.8,106.3,124.23,58.32
2005-12-01,81.7,91.4,108.5,106.2,126.22,59.41
2006-01-01,85.9,88.3,109.9,106.2,125.68,65.49
2006-02-01,83.1,83.3,108.9,106.6,126.86,61.63
2006-03-01,87.6,84.3,109.5,107,125.96,62.69
2006-04-01,100.4,88.5,110.9,106.9,127.05,69.44
2006-05-01,102.7,91.5,112,107.5,129.65,70.84
2006-06-01,100.4,95,111.7,107.2,129.96,70.95
2006-07-01,106,97,113.6,107.5,127.84,74.41
2006-08-01,110.1,101.5,114.4,107.7,128.72,73.04
2006-09-01,86.9,90.7,114.7,108.3,129.23,63.8
2006-10-01,82.8,85,113.5,108.4,127.91,58.89
2006-11-01,80.8,82.3,114.2,108.6,126.32,59.08
2006-12-01,80.4,83.3,114.7,108.4,123.74,61.96
2007-01-01,82.4,96,115,108.6,121.87,54.51
2007-02-01,84.8,90.5,115.6,109.1,122.17,59.28
2007-03-01,95.6,93.3,116.7,109.5,122.04,60.44
2007-04-01,99.3,96.5,117.6,109.6,125.02,63.98
2007-05-01,110,92.5,117.6,109.9,129.36,63.46
2007-06-01,105,91,118.6,109.9,133.07,67.49
2007-07-01,109,92.3,119.1,110,133.97,74.12
2007-08-01,101.7,91.5,119.3,110.1,133.31,72.36
2007-09-01,103.2,94,119.3,110.5,136.72,79.92
2007-10-01,94.4,96.5,118.7,110.3,142.7,85.8
2007-11-01,98.1,103.8,119.1,110.3,142.68,94.77
2007-12-01,98.3,110.5,119,110,137.9,91.69
2008-01-01,101.8,108.3,118.9,110.1,136.06,92.97
2008-02-01,102.1,102.8,119.1,110.7,137.22,95.39
2008-03-01,106.8,119,120,110.9,135.06,105.45
2008-04-01,115.8,123.3,121.2,111.2,133.03,112.58
2008-05-01,123.9,131.3,122.3,111.5,135.42,125.4
