"Population estimates on July 1st, by age and sex 1 2 3 4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 17-10-0005-01 (formerly CANSIM 051-0001),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2022-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Canada, Province or territory",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Canada,,,,,,,Newfoundland and Labrador,,,,,,,Prince Edward Island,,,,,,,Nova Scotia,,,,,,,New Brunswick,,,,,,,Quebec,,,,,,,Ontario,,,,,,,Manitoba,,,,,,,Saskatchewan,,,,,,,Alberta,,,,,,,British Columbia,,,,,,,Yukon,,,,,,,Northwest Territories including Nunavut (Terminated) 6,,,,,,,Northwest Territories 7,,,,,,,Nunavut 7,,,,,,
Sex,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,,Both sexes,,,,,,
Age group 3 5,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age,All ages,65 to 69 years,70 to 74 years,0 to 15 years,16 to 64 years,65 years and over,Median age
Reference period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years,Persons,,,,,,Years
2005,"32,243,753","1,194,243","1,043,727","6,146,635","21,883,125","4,213,993",38.6,"514,332","21,207","17,060","87,657","358,747","67,928",40.7,"138,064","5,709","4,771","26,587","91,837","19,640",39.7,"937,926","38,632","32,675","165,167","638,093","134,666",40.7,"748,057","30,089","25,151","131,994","510,827","105,236",40.5,"7,581,476","300,627","263,237","1,368,358","5,180,101","1,033,017",40.1,"12,528,663","455,816","400,448","2,445,950","8,469,894","1,612,819",38.1,"1,178,264","40,999","36,813","249,005","769,396","159,863",37.4,"993,500","36,502","34,001","209,775","635,554","148,171",37.6,"3,321,768","99,330","86,061","685,414","2,292,569","343,785",35.4,"4,196,062","163,420","142,194","748,279","2,863,840","583,943",39.8,"31,902",832,573,"6,430","23,291","2,181",37.4,..,..,..,..,..,..,..,"43,400",716,526,"11,105","30,342","1,953",31,"30,339",364,217,"10,914","18,634",791,23.4
2006,"32,571,174","1,235,115","1,046,477","6,096,622","22,155,646","4,318,906",38.9,"510,592","21,932","17,291","84,841","356,255","69,496",41.3,"137,867","5,815","4,952","25,928","91,860","20,079",40.3,"937,882","40,133","32,904","160,769","639,443","137,670",41.2,"745,621","31,468","25,543","128,805","508,905","107,911",41.1,"7,631,966","312,895","263,084","1,353,533","5,216,488","1,061,945",40.5,"12,661,878","468,309","400,991","2,426,107","8,584,143","1,651,628",38.4,"1,183,562","42,207","36,566","246,325","775,421","161,816",37.6,"992,314","37,111","33,647","205,595","637,745","148,974",37.9,"3,421,434","103,101","86,929","693,791","2,372,888","354,755",35.5,"4,241,794","170,186","143,234","742,947","2,899,300","599,547",40.1,"32,272",888,591,"6,338","23,638","2,296",37.9,..,..,..,..,..,..,..,"43,179",713,521,"10,790","30,410","1,979",31.3,"30,813",357,224,"10,853","19,150",810,23.6
2007,"32,889,025","1,284,639","1,049,111","6,061,967","22,405,679","4,421,379",39.2,"509,055","22,714","17,675","83,339","354,607","71,109",41.9,"137,711","5,982","5,056","25,371","91,840","20,500",40.9,"935,115","41,640","33,025","157,238","637,902","139,975",41.7,"745,433","32,875","25,502","126,611","508,534","110,288",41.6,"7,692,916","329,522","261,908","1,338,987","5,259,752","1,094,177",40.7,"12,764,806","484,815","403,361","2,409,108","8,665,560","1,690,138",38.7,"1,189,451","43,454","36,104","245,418","781,058","162,975",37.7,"1,002,086","37,792","33,251","205,522","646,970","149,594",38,"3,514,147","106,956","87,267","702,126","2,448,557","363,464",35.6,"4,290,984","176,822","144,580","740,612","2,936,516","613,856",40.3,"32,554",919,613,"6,215","23,956","2,383",38.2,..,..,..,..,..,..,..,"43,372",759,536,"10,522","30,786","2,064",31.4,"31,395",389,233,"10,898","19,641",856,23.8
2008,"33,247,118","1,344,053","1,061,520","6,051,306","22,654,696","4,541,116",39.4,"511,581","23,869","18,123","83,024","355,329","73,228",42.3,"138,749","6,203","5,065","25,135","92,648","20,966",41.4,"935,897","43,551","33,548","154,845","637,880","143,172",42.1,"746,877","34,368","25,892","125,076","508,985","112,816",42,"7,761,725","347,698","264,217","1,329,612","5,300,929","1,131,184",41,"12,883,583","505,594","409,207","2,400,486","8,747,344","1,735,753",39,"1,197,775","45,108","36,194","245,672","787,069","165,034",37.8,"1,017,404","38,621","33,190","207,561","659,455","150,388",37.9,"3,595,856","111,630","87,949","711,597","2,511,570","372,689",35.6,"4,349,336","185,170","146,695","740,828","2,978,250","630,258",40.5,"33,083",980,652,"6,197","24,361","2,525",38.4,..,..,..,..,..,..,..,"43,360",831,540,"10,292","30,905","2,163",31.5,"31,892",430,248,"10,981","19,971",940,23.9
2009,"33,628,895","1,404,615","1,086,881","6,052,273","22,907,297","4,669,325",39.6,"516,751","25,143","18,778","83,336","357,621","75,794",42.6,"139,891","6,528","5,104","25,084","93,388","21,419",41.7,"938,208","45,230","34,514","152,803","638,787","146,618",42.4,"749,956","35,826","26,796","123,871","510,235","115,850",42.4,"7,843,383","365,961","270,858","1,326,721","5,346,615","1,170,047",41.1,"12,998,345","525,615","419,815","2,392,240","8,822,776","1,783,329",39.3,"1,208,556","46,879","36,653","247,341","793,980","167,235",37.8,"1,034,819","39,537","33,052","209,810","673,732","151,277",37.8,"3,678,996","116,651","89,512","722,391","2,573,610","382,995",35.7,"4,410,506","194,775","150,299","741,269","3,020,452","648,785",40.6,"33,731","1,145",682,"6,214","24,760","2,757",38.6,..,..,..,..,..,..,..,"43,156",880,550,"10,073","30,842","2,241",31.7,"32,597",445,268,"11,120","20,499",978,24.1
2010,"34,004,889","1,464,326","1,114,688","6,056,200","23,144,674","4,804,015",39.8,"522,009","26,508","19,376","83,284","360,212","78,513",43,"141,654","6,826","5,286","25,031","94,560","22,063",42,"942,107","47,157","35,231","151,110","641,077","149,920",42.7,"753,035","37,279","27,681","122,621","511,482","118,932",42.7,"7,929,222","385,616","279,215","1,325,290","5,391,379","1,212,553",41.3,"13,135,778","545,176","429,734","2,387,441","8,915,602","1,832,735",39.6,"1,220,780","48,607","37,109","248,731","802,505","169,544",37.8,"1,051,443","40,552","33,165","212,432","686,657","152,354",37.6,"3,732,082","121,140","91,802","732,053","2,606,360","393,669",35.8,"4,465,546","202,865","154,538","740,722","3,057,352","667,472",40.8,"34,596","1,236",708,"6,285","25,380","2,931",38.6,..,..,..,..,..,..,..,"43,285",899,560,"9,930","31,053","2,302",31.9,"33,352",465,283,"11,270","21,055","1,027",24.3
2011,"34,339,328","1,531,965","1,152,882","6,055,166","23,328,927","4,955,235",40,"524,999","28,916","20,082","82,954","359,722","82,323",43.4,"143,963","7,266","5,396","25,125","95,958","22,880",42.3,"944,274","49,347","36,469","149,149","641,154","153,971",43,"755,705","38,871","28,970","121,268","511,826","122,611",43.1,"8,005,090","403,721","291,818","1,325,847","5,423,018","1,256,225",41.4,"13,261,381","570,269","441,675","2,377,828","8,994,723","1,888,830",39.8,"1,233,649","50,399","38,255","250,295","810,991","172,363",37.8,"1,066,026","41,867","33,699","214,463","697,714","153,849",37.5,"3,789,030","127,104","94,714","742,930","2,639,097","407,003",35.9,"4,502,104","211,409","160,171","737,642","3,075,896","688,566",41.1,"35,411","1,319",755,"6,344","25,960","3,107",38.6,..,..,..,..,..,..,..,"43,504",995,586,"9,850","31,228","2,426",32.1,"34,192",482,292,"11,471","21,640","1,081",24.6
2012,"34,714,222","1,644,577","1,194,047","6,067,785","23,491,500","5,154,937",40.1,"526,345","31,209","20,707","82,248","358,140","85,957",43.8,"144,530","7,994","5,539","24,764","95,833","23,933",42.7,"943,635","53,324","37,886","147,156","635,989","160,490",43.4,"758,378","42,073","30,300","120,682","509,724","127,972",43.5,"8,061,101","424,941","304,868","1,330,356","5,429,208","1,301,537",41.6,"13,390,632","616,006","455,534","2,370,249","9,051,168","1,969,215",40,"1,249,975","54,190","39,300","252,473","819,946","177,556",37.8,"1,083,755","44,610","34,131","218,239","708,448","157,068",37.4,"3,874,548","138,228","98,204","760,400","2,688,113","426,035",36,"4,566,769","228,951","165,887","733,461","3,115,156","718,152",41.4,"36,234","1,483",782,"6,492","26,405","3,337",38.7,..,..,..,..,..,..,..,"43,648","1,040",596,"9,694","31,426","2,528",32.5,"34,672",528,313,"11,571","21,944","1,157",24.8
2013,"35,082,954","1,741,051","1,248,201","6,102,260","23,627,711","5,352,983",40.3,"527,114","32,958","21,635","81,654","356,048","89,412",44.3,"144,094","8,659","5,741","24,436","94,689","24,969",43.2,"940,434","56,684","39,527","145,242","628,513","166,679",43.9,"758,544","45,062","31,695","119,763","505,399","133,382",44,"8,110,880","442,242","319,884","1,339,300","5,427,268","1,344,312",41.8,"13,510,781","654,852","474,736","2,371,405","9,090,697","2,048,679",40.3,"1,264,620","57,179","40,822","255,027","826,850","182,743",37.8,"1,099,736","46,867","34,833","221,823","717,948","159,965",37.2,"3,981,011","148,773","102,995","782,618","2,752,465","445,928",36,"4,630,077","244,432","174,579","733,069","3,147,574","749,434",41.7,"36,521","1,626",828,"6,483","26,459","3,579",39,..,..,..,..,..,..,..,"43,805","1,150",607,"9,592","31,530","2,683",33.1,"35,337",567,319,"11,848","22,271","1,218",24.9
2014,"35,437,435","1,822,528","1,304,022","6,146,143","23,748,966","5,542,326",40.5,"528,159","34,559","22,686","81,299","353,966","92,894",44.7,"144,283","9,125","6,108","24,488","93,808","25,987",43.6,"938,545","59,241","41,174","144,108","622,106","172,331",44.4,"758,976","47,834","33,138","118,925","501,162","138,889",44.6,"8,150,183","458,409","335,437","1,349,448","5,411,672","1,389,063",42,"13,617,553","686,061","493,339","2,374,032","9,122,596","2,120,925",40.5,"1,279,014","59,561","42,406","258,368","833,488","187,158",37.7,"1,112,979","48,983","35,564","225,817","724,480","162,682",37.2,"4,083,648","157,268","107,933","804,409","2,815,213","464,026",36,"4,707,103","257,994","184,302","737,009","3,189,598","780,496",41.9,"37,137","1,665",941,"6,598","26,769","3,770",39.1,..,..,..,..,..,..,..,"43,884","1,222",665,"9,521","31,525","2,838",33.6,"35,971",606,329,"12,121","22,583","1,267",25.1
