"Current and capital accounts - Households, Canada, quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Quarterly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 36-10-0112-01 (formerly CANSIM 380-0072),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2023-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography: Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seasonal adjustment,Seasonally adjusted at annual rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unadjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates,"Compensation of employees 1  (x 1,000,000)","Paid to residents by resident entities 1  (x 1,000,000)","Paid to residents by non-resident entities 1  (x 1,000,000)","Plus: net mixed income 1  (x 1,000,000)","Non-farm 1  (x 1,000,000)","Farm 1  (x 1,000,000)","Rental income of households 1  (x 1,000,000)","Plus: net property income 1  (x 1,000,000)","Property income received 1  (x 1,000,000)","Less: property income paid 1  (x 1,000,000)","Equals: primary household income 1  (x 1,000,000)","Primary household income 2  (x 1,000,000)","Plus: current transfers received 2  (x 1,000,000)","From non-profit institutions serving households 2  (x 1,000,000)","From corporations 2  (x 1,000,000)","From general governments 2 3  (x 1,000,000)","Employment insurance benefits 2 3  (x 1,000,000)","Social security benefits 2  (x 1,000,000)","Other benefits 2 3  (x 1,000,000)","From non-residents 2  (x 1,000,000)","Less: current transfers paid 2  (x 1,000,000)","To non-profit institutions serving households 2  (x 1,000,000)","To corporations 2  (x 1,000,000)","To general governments 2  (x 1,000,000)","Personal income tax 2  (x 1,000,000)","Other current transfers 2  (x 1,000,000)","Of which: contributions to social insurance plans 2  (x 1,000,000)","To non-residents 2  (x 1,000,000)","Equals: household disposable income 2  (x 1,000,000)","Household disposable income 4  (x 1,000,000)","Less: household final consumption expenditure 4  (x 1,000,000)","Plus: change in pension entitlements 4  (x 1,000,000)","Equals: household net saving 4  (x 1,000,000)",Household saving rate 4,"Household net saving 5  (x 1,000,000)","Plus: consumption of fixed capital at replacement cost 5  (x 1,000,000)","Plus: net capital transfers received 5  (x 1,000,000)","From non-profit institutions serving households 5  (x 1,000,000)","From corporations 5  (x 1,000,000)","From general governments 3 5  (x 1,000,000)","From non-residents 5  (x 1,000,000)","Equals: gross saving and capital transfers 5  (x 1,000,000)","Less: non-financial capital acquisitions 5  (x 1,000,000)","Fixed capital 5  (x 1,000,000)","New assets 5  (x 1,000,000)","Existing assets 5  (x 1,000,000)","Inventories 5  (x 1,000,000)","Equals: net lending or net borrowing 5  (x 1,000,000)","Compensation of employees 1  (x 1,000,000)","Paid to residents by resident entities 1  (x 1,000,000)","Paid to residents by non-resident entities 1  (x 1,000,000)","Plus: net mixed income 1  (x 1,000,000)","Non-farm 1  (x 1,000,000)","Farm 1  (x 1,000,000)","Rental income of households 1  (x 1,000,000)","Plus: net property income 1  (x 1,000,000)","Property income received 1  (x 1,000,000)","Less: property income paid 1  (x 1,000,000)","Equals: primary household income 1  (x 1,000,000)","Primary household income 2  (x 1,000,000)","Plus: current transfers received 2  (x 1,000,000)","From non-profit institutions serving households 2  (x 1,000,000)","From corporations 2  (x 1,000,000)","From general governments 2 3  (x 1,000,000)","Employment insurance benefits 2 3  (x 1,000,000)","Social security benefits 2  (x 1,000,000)","Other benefits 2 3  (x 1,000,000)","From non-residents 2  (x 1,000,000)","Less: current transfers paid 2  (x 1,000,000)","To non-profit institutions serving households 2  (x 1,000,000)","To corporations 2  (x 1,000,000)","To general governments 2  (x 1,000,000)","Personal income tax 2  (x 1,000,000)","Other current transfers 2  (x 1,000,000)","Of which: contributions to social insurance plans 2  (x 1,000,000)","To non-residents 2  (x 1,000,000)","Equals: household disposable income 2  (x 1,000,000)","Household disposable income 4  (x 1,000,000)","Less: household final consumption expenditure 4  (x 1,000,000)","Plus: change in pension entitlements 4  (x 1,000,000)","Equals: household net saving 4  (x 1,000,000)",Household saving rate 4,"Household net saving 5  (x 1,000,000)","Plus: consumption of fixed capital at replacement cost 5  (x 1,000,000)","Plus: net capital transfers received 5  (x 1,000,000)","From non-profit institutions serving households 5  (x 1,000,000)","From corporations 5  (x 1,000,000)","From general governments 3 5  (x 1,000,000)","From non-residents 5  (x 1,000,000)","Equals: gross saving and capital transfers 5  (x 1,000,000)","Less: non-financial capital acquisitions 5  (x 1,000,000)","Fixed capital 5  (x 1,000,000)","New assets 5  (x 1,000,000)","Existing assets 5  (x 1,000,000)","Inventories 5  (x 1,000,000)","Equals: net lending or net borrowing 5  (x 1,000,000)"
Reference period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percent,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percent,Dollars,,,,,,,,,,,,,
Q1 2002,"586,108","585,104","1,004","109,972","46,136","6,048","57,788","74,628","111,560","36,932","770,708","770,708","145,824","2,648","37,116","104,104","12,904","32,408","58,792","1,956","282,160","9,952","70,168","199,740","135,624","64,116","56,896","2,300","634,372","634,372","634,584","33,052","32,840",5.2,"32,840","33,564","-5,196",-372,0,"-4,820",-4,"61,208","76,540","77,100","69,296","7,804",-560,"-15,332","143,894","143,636",258,"24,723","10,841",379,"13,503","18,386","27,540","9,154","187,003","187,003","37,215",655,"9,161","26,871","3,836","8,155","14,880",528,"68,919","2,445","16,644","49,347","31,278","18,069","16,072",483,"155,299","155,299","150,021","7,483","12,761",8.2,"12,761","8,388","-1,308",-100,0,"-1,207",-1,"19,841","14,961","17,035","15,031","2,004","-2,074","4,880"
Q2 2002,"592,032","591,020","1,012","111,004","46,668","5,924","58,412","71,380","107,900","36,520","774,416","774,416","146,560","2,744","37,728","104,136","12,884","32,712","58,540","1,952","284,980","10,060","65,776","206,484","141,828","64,656","56,436","2,660","635,996","635,996","648,388","28,048","15,656",2.5,"15,656","34,008","-3,740",-400,0,"-3,336",-4,"45,924","76,928","77,416","69,512","7,904",-488,"-31,004","149,928","149,677",251,"26,633","11,956",-187,"14,864","17,741","26,883","9,142","194,302","194,302","36,392",691,"9,483","25,756","3,056","8,206","14,494",462,"73,411","2,548","16,491","53,657","34,787","18,870","16,855",715,"157,283","157,283","165,002","7,008",-711,-0.5,-711,"8,452",-927,-92,0,-834,-1,"6,814","19,774","19,740","17,934","1,806",34,"-12,960"
Q3 2002,"599,780","598,752","1,028","112,056","47,124","6,132","58,800","71,248","108,524","37,276","783,084","783,084","147,584","2,768","38,008","104,832","12,944","33,256","58,632","1,976","283,512","10,112","64,824","205,880","141,368","64,512","57,292","2,696","647,156","647,156","656,668","26,816","17,304",2.7,"17,304","34,404","-3,932",-524,0,"-3,404",-4,"47,776","80,928","81,752","73,044","8,708",-824,"-33,152","151,021","150,772",249,"31,354","12,155","3,573","15,626","17,457","26,913","9,456","199,832","199,832","36,503",694,"9,552","25,748","2,962","8,254","14,532",509,"71,016","2,548","15,591","52,179","36,466","15,713","14,003",698,"165,319","165,319","164,385","6,039","6,973",4.2,"6,973","8,646",-978,-127,0,-850,-1,"14,641","24,221","22,253","19,897","2,356","1,968","-9,580"
Q4 2002,"609,212","608,172","1,040","113,948","48,160","6,296","59,492","70,928","109,400","38,472","794,088","794,088","150,328","2,756","38,444","107,148","12,616","33,312","61,220","1,980","291,612","10,140","68,304","210,740","145,032","65,708","58,588","2,428","652,804","652,804","666,780","29,860","15,884",2.4,"15,884","34,544","-3,944",-640,0,"-3,300",-4,"46,484","84,512","85,428","75,284","10,144",-916,"-38,028","151,940","151,677",263,"29,035","12,070","2,335","14,630","18,462","28,010","9,548","199,437","199,437","37,464",689,"9,628","26,680","2,983","8,307","15,390",467,"72,220","2,525","18,542","50,528","38,432","12,096","10,373",625,"164,681","164,681","172,197","8,914","1,398",0.8,"1,398","8,644",-990,-165,0,-824,-1,"9,052","20,771","21,396","18,922","2,474",-625,"-11,719"
Q1 2003,"613,824","612,852",972,"114,980","48,872","6,476","59,632","68,784","107,668","38,884","797,588","797,588","152,416","2,688","40,632","107,096","12,908","33,828","60,360","2,000","286,976","9,964","66,812","207,704","142,224","65,480","57,776","2,496","663,028","663,028","672,940","26,180","16,268",2.5,"16,268","34,088","-4,196",-820,0,"-3,372",-4,"46,160","86,324","85,880","75,892","9,988",444,"-40,164","150,842","150,592",250,"25,969","11,468",599,"13,902","16,754","26,457","9,703","193,565","193,565","39,116",664,"10,252","27,664","3,937","8,514","15,213",536,"70,505","2,450","15,778","51,753","33,258","18,495","16,395",524,"162,176","162,176","159,462","5,526","8,240",5.1,"8,240","8,509","-1,070",-223,0,-846,-1,"15,679","17,246","18,904","16,576","2,328","-1,658","-1,567"
Q2 2003,"615,924","614,964",960,"115,584","49,404","6,100","60,080","69,824","108,264","38,440","801,332","801,332","152,452","2,688","39,392","108,428","13,632","33,588","61,208","1,944","294,444","9,904","77,548","204,732","136,260","68,472","59,468","2,260","659,340","659,340","677,428","38,156","20,068",3,"20,068","34,528","-2,788",-672,0,"-2,112",-4,"51,808","88,456","87,852","77,120","10,732",604,"-36,648","155,944","155,706",238,"27,650","12,663",-332,"15,319","17,338","26,958","9,620","200,932","200,932","37,932",679,"9,950","26,844","3,298","8,418","15,128",459,"75,587","2,508","19,542","52,920","32,912","20,008","17,808",617,"163,277","163,277","172,330","9,592",539,0.3,539,"8,581",-679,-150,0,-528,-1,"8,441","22,520","22,439","19,911","2,528",81,"-14,079"
Q3 2003,"621,740","620,768",972,"117,036","50,544","6,048","60,444","70,188","109,816","39,628","808,964","808,964","152,904","2,756","39,684","108,528","13,420","34,180","60,928","1,936","300,376","10,104","73,108","214,944","145,956","68,988","61,204","2,220","661,492","661,492","687,100","33,424","7,816",1.2,"7,816","34,680","-2,704",-608,0,"-2,092",-4,"39,792","90,592","89,692","79,468","10,224",900,"-50,800","156,440","156,205",235,"32,939","13,055","3,799","16,085","17,354","27,338","9,984","206,733","206,733","37,660",691,"9,826","26,643","2,992","8,490","15,161",500,"74,982","2,546","17,327","54,525","37,652","16,873","15,004",584,"169,411","169,411","172,319","7,501","4,593",2.7,"4,593","8,729",-671,-147,0,-523,-1,"12,651","27,097","24,377","21,599","2,778","2,720","-14,446"
Q4 2003,"630,912","629,956",956,"118,532","51,628","6,680","60,224","69,580","108,952","39,372","819,024","819,024","154,980","2,836","40,632","109,624","13,484","34,600","61,540","1,888","304,912","10,428","72,376","219,832","148,904","70,928","63,168","2,276","669,092","669,092","687,360","31,744","13,476",2,"13,476","34,908","-2,616",-508,0,"-2,104",-4,"45,768","93,752","92,692","82,468","10,224","1,060","-47,984","157,374","157,132",242,"29,975","12,926","2,260","14,789","18,148","27,922","9,774","205,497","205,497","38,480",708,"10,057","27,268","3,134","8,627","15,507",447,"75,603","2,596","19,814","52,605","39,514","13,091","11,197",588,"168,374","168,374","177,096","9,757","1,035",0.6,"1,035","8,732",-656,-132,0,-523,-1,"9,111","22,918","23,309","20,651","2,658",-391,"-13,807"
